name,sector,region,pos_x,pos_y,pos_z
Col 70 Sector AZ-Q c5-1,Col 70 Sector,Unknown,707.5625,-567,-1378.9375
Col 70 Sector BA-W c3-12,Col 70 Sector,Unknown,666.09375,-237.3125,-1430.09375
Col 70 Sector BA-W c3-8,Col 70 Sector,Unknown,670.46875,-260.96875,-1427.59375
Col 70 Sector BA-Y d1-0,Col 70 Sector,Unknown,675.0625,-211.21875,-1389.9375
Col 70 Sector BA-Y d1-6,Col 70 Sector,Unknown,669.125,-214.03125,-1464.9375
Col 70 Sector BB-J a59-1,Col 70 Sector,Unknown,215.71875,-45,-972.15625
Col 70 Sector BB-K c10-3,Col 70 Sector,Unknown,744.59375,-146.0625,-1171.40625
Col 70 Sector BB-M b24-0,Col 70 Sector,Unknown,197.09375,-282.09375,-1080.40625
Col 70 Sector BB-V d3-30,Col 70 Sector,Unknown,562.78125,50.875,-1234.75
Col 70 Sector BC-D a35-0,Col 70 Sector,Unknown,237.40625,-32.0625,-1234.5625
Col 70 Sector BC-I b27-0,Col 70 Sector,Unknown,250.3125,-142.71875,-1005.28125
Col 70 Sector BC-K b25-0,Col 70 Sector,Unknown,82.4375,-285.125,-1055.5625
Col 70 Sector BD-F b42-0,Col 70 Sector,Unknown,358.9375,-222.59375,-701.96875
Col 70 Sector BD-O b37-0,Col 70 Sector,Unknown,277.15625,-201.6875,-804.71875
Col 70 Sector BD-X b45-0,Col 70 Sector,Unknown,374.28125,-314.34375,-624.375
Col 70 Sector BE-D b43-0,Col 70 Sector,Unknown,235.71875,-241.40625,-680.5
Col 70 Sector BE-U b6-0,Col 70 Sector,Unknown,799.96875,-220.09375,-1459.15625
Col 70 Sector BF-G b27-0,Col 70 Sector,Unknown,357.5625,-344.6875,-1023.5
Col 70 Sector BF-W c3-1,Col 70 Sector,Unknown,772.3125,-221.40625,-1463.5
Col 70 Sector BF-X b31-0,Col 70 Sector,Unknown,436.21875,-363,-919.625
Col 70 Sector BG-F b40-0,Col 70 Sector,Unknown,320.46875,-581.28125,-743.59375
Col 70 Sector BG-M b24-0,Col 70 Sector,Unknown,239.75,-260.40625,-1082.09375
Col 70 Sector BG-V b32-0,Col 70 Sector,Unknown,319.90625,-381.3125,-899.625
Col 70 Sector BH-Q a55-1,Col 70 Sector,Unknown,137.53125,-31.4375,-1011.28125
Col 70 Sector BI-F c13-2,Col 70 Sector,Unknown,529.96875,-44.90625,-1032.875
Col 70 Sector BK-O c7-0,Col 70 Sector,Unknown,815,-381.9375,-1299.78125
Col 70 Sector BK-P b35-0,Col 70 Sector,Unknown,476.1875,-439.875,-844.46875
Col 70 Sector BK-Z d0,Col 70 Sector,Unknown,686.8125,-392.5625,-1532.1875
Col 70 Sector BL-L b38-0,Col 70 Sector,Unknown,516.28125,-286.90625,-774.8125
Col 70 Sector BL-M b37-0,Col 70 Sector,Unknown,453.375,-377.53125,-801.59375
Col 70 Sector BM-K d9-13,Col 70 Sector,Unknown,658.5625,-3.0625,-797.5
Col 70 Sector BM-S b21-0,Col 70 Sector,Unknown,167.34375,-153.625,-1125.53125
Col 70 Sector BN-I b26-0,Col 70 Sector,Unknown,39.09375,-281.8125,-1038.8125
Col 70 Sector BQ-M b37-0,Col 70 Sector,Unknown,476.96875,-363.46875,-800.125
Col 70 Sector BQ-W d2-20,Col 70 Sector,Unknown,674.90625,-65.28125,-1315.53125
Col 70 Sector BR-Y a64-1,Col 70 Sector,Unknown,259.71875,-32.46875,-911
Col 70 Sector BS-I b39-0,Col 70 Sector,Unknown,240.9375,-386.9375,-761.53125
Col 70 Sector BT-D c14-8,Col 70 Sector,Unknown,425.78125,4.65625,-987.6875
Col 70 Sector BT-E c13-3,Col 70 Sector,Unknown,271.65625,-146.1875,-1061.28125
Col 70 Sector BT-O b36-0,Col 70 Sector,Unknown,125.1875,-310.96875,-819.875
Col 70 Sector BU-C b15-0,Col 70 Sector,Unknown,796.0625,-381.875,-1279.34375
Col 70 Sector BU-H b26-0,Col 70 Sector,Unknown,397.15625,-363.78125,-1043.03125
Col 70 Sector BU-H c10-5,Col 70 Sector,Unknown,816.3125,-626.78125,-1175.46875
Col 70 Sector BU-H c10-9,Col 70 Sector,Unknown,819.03125,-626,-1148.4375
Col 70 Sector BU-Y c1-0,Col 70 Sector,Unknown,659.3125,-403.96875,-1538.65625
Col 70 Sector BU-Z c0,Col 70 Sector,Unknown,518.03125,-554.25,-1556.6875
Col 70 Sector BV-N b36-0,Col 70 Sector,Unknown,436.59375,-410.3125,-821.21875
Col 70 Sector BW-A b18-0,Col 70 Sector,Unknown,238.15625,-24.75,-1220.6875
Col 70 Sector BW-M d7-3,Col 70 Sector,Unknown,341.40625,-444.59375,-965.09375
Col 70 Sector BW-M d7-6,Col 70 Sector,Unknown,414.125,-435.34375,-948.09375
Col 70 Sector BX-I b26-0,Col 70 Sector,Unknown,117.59375,-243.53125,-1029.53125
Col 70 Sector BX-Q b35-0,Col 70 Sector,Unknown,278.375,-270.03125,-840.59375
Col 70 Sector BX-R b21-0,Col 70 Sector,Unknown,52.3125,-219.75,-1141.46875
Col 70 Sector BY-F c12-1,Col 70 Sector,Unknown,214,-290.71875,-1099.8125
Col 70 Sector CA-Q d5-9,Col 70 Sector,Unknown,763.84375,-618.5,-1093.375
Col 70 Sector CB-A b32-1,Col 70 Sector,Unknown,535.78125,-51.03125,-913.8125
Col 70 Sector CE-E c13-0,Col 70 Sector,Unknown,61.09375,-274.34375,-1037.4375
Col 70 Sector CE-E c13-1,Col 70 Sector,Unknown,66.125,-282.59375,-1050.34375
Col 70 Sector CE-F b16-0,Col 70 Sector,Unknown,575.46875,56.65625,-1263.15625
Col 70 Sector CE-N b37-0,Col 70 Sector,Unknown,95.9375,-302.96875,-799.6875
Col 70 Sector CF-P c6-1,Col 70 Sector,Unknown,620,-575.09375,-1342.15625
Col 70 Sector CF-P c6-9,Col 70 Sector,Unknown,633.375,-561.625,-1333.6875
Col 70 Sector CH-L d8-2,Col 70 Sector,Unknown,276.28125,-363.3125,-847.5
Col 70 Sector CH-W b31-0,Col 70 Sector,Unknown,775.65625,-460.21875,-921.65625
Col 70 Sector CI-G b28-0,Col 70 Sector,Unknown,176.96875,-139.8125,-1004.6875
Col 70 Sector CI-P b36-0,Col 70 Sector,Unknown,260.25,-263.875,-823.25
Col 70 Sector CJ-E b42-0,Col 70 Sector,Unknown,216.25,-295.78125,-702.78125
Col 70 Sector CK-H c10-0,Col 70 Sector,Unknown,699.3125,-725.875,-1153.15625
Col 70 Sector CM-H b41-1,Col 70 Sector,Unknown,576.125,-155.71875,-708.90625
Col 70 Sector CM-H b41-2,Col 70 Sector,Unknown,580.5625,-154.5,-715.875
Col 70 Sector CP-B b3-0,Col 70 Sector,Unknown,695.25,-181.21875,-1526.875
Col 70 Sector CP-G b27-0,Col 70 Sector,Unknown,458.96875,-299.3125,-1024.96875
Col 70 Sector CP-Q c5-2,Col 70 Sector,Unknown,625.96875,-626.21875,-1359.6875
Col 70 Sector CP-Q c5-8,Col 70 Sector,Unknown,635.125,-625.6875,-1374.15625
Col 70 Sector CQ-N b36-0,Col 70 Sector,Unknown,420.3125,-439.78125,-824.75
Col 70 Sector CR-I c11-4,Col 70 Sector,Unknown,785.125,-83.375,-1135.6875
Col 70 Sector CR-P b34-0,Col 70 Sector,Unknown,780.625,-603.78125,-862.78125
Col 70 Sector CS-J d9-13,Col 70 Sector,Unknown,111.0625,-308.8125,-816
Col 70 Sector CT-O c20-0,Col 70 Sector,Unknown,299.78125,-582.0625,-741.84375
Col 70 Sector CT-W b45-0,Col 70 Sector,Unknown,300,-364.28125,-624.625
Col 70 Sector CU-H b26-0,Col 70 Sector,Unknown,424.625,-363,-1044.34375
Col 70 Sector CU-K c23-5,Col 70 Sector,Unknown,381.75,-297.21875,-616.84375
Col 70 Sector CU-Q c5-3,Col 70 Sector,Unknown,707.15625,-595.46875,-1384.84375
Col 70 Sector CU-Q c5-7,Col 70 Sector,Unknown,700.78125,-609.6875,-1374.625
Col 70 Sector CU-Y c1-0,Col 70 Sector,Unknown,699.25,-422.40625,-1541.6875
Col 70 Sector CV-N b36-0,Col 70 Sector,Unknown,459.4375,-412.5625,-823.5625
Col 70 Sector CW-F b27-0,Col 70 Sector,Unknown,818.71875,-383.21875,-1010.125
Col 70 Sector CX-I b26-0,Col 70 Sector,Unknown,139.75,-239.65625,-1040.71875
Col 70 Sector CX-Q b22-0,Col 70 Sector,Unknown,152.6875,-130.25,-1115.0625
Col 70 Sector CY-E b42-0,Col 70 Sector,Unknown,340.65625,-240.90625,-699.9375
Col 70 Sector CY-W b45-0,Col 70 Sector,Unknown,350.34375,-331.75,-624.4375
Col 70 Sector CZ-C b43-0,Col 70 Sector,Unknown,216.78125,-261.53125,-683.75
Col 70 Sector DA-Q d5-13,Col 70 Sector,Unknown,817.6875,-622.625,-1073.34375
Col 70 Sector DA-Q d5-8,Col 70 Sector,Unknown,817.28125,-626.9375,-1121.625
Col 70 Sector DB-T c5-3,Col 70 Sector,Unknown,692.15625,-137.28125,-1374.90625
Col 70 Sector DC-R c19-3,Col 70 Sector,Unknown,735.875,-456.78125,-754.75
Col 70 Sector DC-S b21-0,Col 70 Sector,Unknown,134.125,-187.34375,-1132.78125
Col 70 Sector DC-T d4-3,Col 70 Sector,Unknown,193.6875,-89,-1224.5
Col 70 Sector DD-G b41-0,Col 70 Sector,Unknown,329.75,-296.5,-706
Col 70 Sector DD-H b27-0,Col 70 Sector,Unknown,76.875,-241.0625,-1019.0625
Col 70 Sector DF-G b27-0,Col 70 Sector,Unknown,397.8125,-341.125,-1023.90625
Col 70 Sector DF-L b39-0,Col 70 Sector,Unknown,807.625,-129.3125,-760.5
Col 70 Sector DF-O c7-3,Col 70 Sector,Unknown,818.625,-419.6875,-1273.25
Col 70 Sector DF-O c7-4,Col 70 Sector,Unknown,819.65625,-419.9375,-1273.03125
Col 70 Sector DF-O c7-8,Col 70 Sector,Unknown,816,-413.9375,-1293.5625
Col 70 Sector DF-Y c1-0,Col 70 Sector,Unknown,498,-540.625,-1543.78125
Col 70 Sector DF-Z d1,Col 70 Sector,Unknown,702.34375,-492.71875,-1488.5
Col 70 Sector DF-Z d2,Col 70 Sector,Unknown,684.0625,-458.03125,-1498.6875
Col 70 Sector DF-Z d3,Col 70 Sector,Unknown,697.21875,-489.75,-1516.03125
Col 70 Sector DF-Z d4,Col 70 Sector,Unknown,705.3125,-484.90625,-1468.8125
Col 70 Sector DG-C b43-0,Col 70 Sector,Unknown,607.84375,-326.28125,-683.84375
Col 70 Sector DH-H b41-1,Col 70 Sector,Unknown,555.5625,-182.90625,-723.4375
Col 70 Sector DH-T d4-24,Col 70 Sector,Unknown,381.90625,20.09375,-1175.09375
Col 70 Sector DH-T d4-6,Col 70 Sector,Unknown,386.40625,21.375,-1207.84375
Col 70 Sector DI-P b23-0,Col 70 Sector,Unknown,130.4375,-116.84375,-1096.84375
Col 70 Sector DJ-S c4-10,Col 70 Sector,Unknown,820.65625,-626.4375,-1405.90625
Col 70 Sector DJ-S c4-7,Col 70 Sector,Unknown,822.375,-625.71875,-1385.34375
Col 70 Sector DK-G b27-0,Col 70 Sector,Unknown,450.5625,-312.1875,-1009.625
Col 70 Sector DK-Q b34-0,Col 70 Sector,Unknown,435.1875,-524.84375,-855.09375
Col 70 Sector DK-X c2-0,Col 70 Sector,Unknown,748.25,-325.125,-1481.875
Col 70 Sector DL-C a49-0,Col 70 Sector,Unknown,159.09375,-38.9375,-1075.65625
Col 70 Sector DN-G b41-0,Col 70 Sector,Unknown,409.59375,-257.875,-707.46875
Col 70 Sector DN-R b22-0,Col 70 Sector,Unknown,798.53125,-80.53125,-1120.75
Col 70 Sector DO-V b46-1,Col 70 Sector,Unknown,360.46875,-302.625,-603.8125
Col 70 Sector DP-H b26-0,Col 70 Sector,Unknown,411.34375,-365.40625,-1038.21875
Col 70 Sector DP-K c23-2,Col 70 Sector,Unknown,342.8125,-344.8125,-613.53125
Col 70 Sector DP-Q c5-1,Col 70 Sector,Unknown,670.125,-625.9375,-1357.78125
Col 70 Sector DP-Q c5-3,Col 70 Sector,Unknown,689.34375,-625.5625,-1376.40625
Col 70 Sector DP-Q c5-4,Col 70 Sector,Unknown,692.875,-625.59375,-1377.84375
Col 70 Sector DP-Q c5-6,Col 70 Sector,Unknown,683.75,-625.21875,-1381
Col 70 Sector DP-Q c5-8,Col 70 Sector,Unknown,656.125,-625.1875,-1373.09375
Col 70 Sector DP-Y c1-0,Col 70 Sector,Unknown,674.875,-447.65625,-1527.3125
Col 70 Sector DQ-N b36-0,Col 70 Sector,Unknown,435.1875,-444.4375,-820.4375
Col 70 Sector DR-A b44-1,Col 70 Sector,Unknown,562,-312.90625,-647.1875
Col 70 Sector DR-H b28-0,Col 70 Sector,Unknown,478.25,-1.78125,-1003.375
Col 70 Sector DR-H b28-1,Col 70 Sector,Unknown,475.09375,-4.4375,-1002.0625
Col 70 Sector DS-J d9-14,Col 70 Sector,Unknown,179.875,-326.09375,-755.4375
Col 70 Sector DS-S b21-0,Col 70 Sector,Unknown,760.34375,-127.5,-1142.8125
Col 70 Sector DT-J b38-0,Col 70 Sector,Unknown,730.78125,-476.1875,-783.625
Col 70 Sector DT-Q a41-0,Col 70 Sector,Unknown,237.9375,-32.3125,-1162.0625
Col 70 Sector DU-Z b29-0,Col 70 Sector,Unknown,436.8125,-449.46875,-954.21875
Col 70 Sector DW-K b38-0,Col 70 Sector,Unknown,454.375,-361.1875,-769.84375
Col 70 Sector DW-L b24-0,Col 70 Sector,Unknown,199.1875,-300.5625,-1080.40625
Col 70 Sector DX-I b26-0,Col 70 Sector,Unknown,157.9375,-236.65625,-1027.34375
Col 70 Sector DX-R b21-0,Col 70 Sector,Unknown,80.59375,-223.09375,-1144.4375
Col 70 Sector DY-E b42-0,Col 70 Sector,Unknown,356.9375,-234.3125,-704.625
Col 70 Sector DY-N b37-0,Col 70 Sector,Unknown,284.5,-208.28125,-799.59375
Col 70 Sector DY-W b45-0,Col 70 Sector,Unknown,356.90625,-341.25,-625
Col 70 Sector DZ-F a47-0,Col 70 Sector,Unknown,236.875,-44.90625,-1102.1875
Col 70 Sector EA-M b25-1,Col 70 Sector,Unknown,538.84375,-89.0625,-1049.125
Col 70 Sector EA-P c6-4,Col 70 Sector,Unknown,618.8125,-614.03125,-1335.03125
Col 70 Sector EA-P c6-6,Col 70 Sector,Unknown,619.375,-612.75,-1343.84375
Col 70 Sector EA-P c6-7,Col 70 Sector,Unknown,648.75,-618.3125,-1338.21875
Col 70 Sector EA-S c19-4,Col 70 Sector,Unknown,144.6875,-243.40625,-772.625
Col 70 Sector EB-C b30-0,Col 70 Sector,Unknown,425.71875,-224.6875,-948.59375
Col 70 Sector EC-H c12-2,Col 70 Sector,Unknown,791.90625,-43.21875,-1103.53125
Col 70 Sector EC-H c12-3,Col 70 Sector,Unknown,785,-48.71875,-1102.4375
Col 70 Sector ED-H b27-0,Col 70 Sector,Unknown,99.1875,-242.03125,-1020.21875
Col 70 Sector EG-B b18-0,Col 70 Sector,Unknown,379.90625,17.1875,-1224.0625
Col 70 Sector EH-K d9-1,Col 70 Sector,Unknown,746,-103.96875,-816.40625
Col 70 Sector EH-K d9-12,Col 70 Sector,Unknown,781.65625,-76.40625,-775.75
Col 70 Sector EH-K d9-26,Col 70 Sector,Unknown,783.875,-91.875,-770.46875
Col 70 Sector EH-K d9-27,Col 70 Sector,Unknown,779.75,-97.90625,-802.34375
Col 70 Sector EH-K d9-28,Col 70 Sector,Unknown,771.84375,-103.65625,-790.53125
Col 70 Sector EH-K d9-34,Col 70 Sector,Unknown,793.5,-96.625,-787.0625
Col 70 Sector EH-K d9-37,Col 70 Sector,Unknown,773.21875,-84.15625,-761.125
Col 70 Sector EH-K d9-44,Col 70 Sector,Unknown,754.25,-98.125,-819.5
Col 70 Sector EH-K d9-48,Col 70 Sector,Unknown,772,-100.1875,-764.1875
Col 70 Sector EH-K d9-56,Col 70 Sector,Unknown,746.5625,-103.5625,-818.28125
Col 70 Sector EH-L d8-10,Col 70 Sector,Unknown,438.34375,-406.5625,-896.625
Col 70 Sector EH-L d8-12,Col 70 Sector,Unknown,435.5625,-418.4375,-835.5
Col 70 Sector EH-L d8-13,Col 70 Sector,Unknown,423.84375,-418.03125,-849.5
Col 70 Sector EH-L d8-14,Col 70 Sector,Unknown,478.6875,-386.03125,-847.28125
Col 70 Sector EI-I d10-29,Col 70 Sector,Unknown,312.9375,-161.40625,-688.3125
Col 70 Sector EI-Y c15-0,Col 70 Sector,Unknown,458.21875,-424.96875,-940.3125
Col 70 Sector EI-Y c15-1,Col 70 Sector,Unknown,458.8125,-424.5,-942.6875
Col 70 Sector EK-K c23-1,Col 70 Sector,Unknown,301.75,-380.03125,-620.5625
Col 70 Sector EK-N b24-0,Col 70 Sector,Unknown,549.5,-128.96875,-1065.9375
Col 70 Sector EK-T c18-2,Col 70 Sector,Unknown,141.3125,-317.5625,-815.75
Col 70 Sector EK-X c2-0,Col 70 Sector,Unknown,779.375,-343.28125,-1500.4375
Col 70 Sector EL-O d6-4,Col 70 Sector,Unknown,771.84375,-563,-1003.3125
Col 70 Sector EM-T b33-0,Col 70 Sector,Unknown,297.1875,-384.0625,-882.21875
Col 70 Sector EN-J d9-2,Col 70 Sector,Unknown,131.34375,-365.21875,-759.3125
Col 70 Sector EO-N b37-0,Col 70 Sector,Unknown,223.96875,-255.4375,-788.21875
Col 70 Sector EP-N b37-0,Col 70 Sector,Unknown,751.375,-256.34375,-792.28125
Col 70 Sector EP-S c19-1,Col 70 Sector,Unknown,381.75,-139.40625,-777.8125
Col 70 Sector EP-Y c1-0,Col 70 Sector,Unknown,703.34375,-445.375,-1525.03125
Col 70 Sector EQ-K b26-0,Col 70 Sector,Unknown,538.0625,-64.90625,-1043.3125
Col 70 Sector EQ-N b36-0,Col 70 Sector,Unknown,459.59375,-444,-823.1875
Col 70 Sector ER-A b44-0,Col 70 Sector,Unknown,586.375,-322.875,-663
Col 70 Sector ER-B b30-0,Col 70 Sector,Unknown,340.21875,-256.21875,-964.09375
Col 70 Sector ER-J b39-1,Col 70 Sector,Unknown,511.21875,-287.875,-760.40625
Col 70 Sector ES-J d9-5,Col 70 Sector,Unknown,311.34375,-333.78125,-763.65625
Col 70 Sector ES-Y b31-1,Col 70 Sector,Unknown,296.5625,-197.96875,-920.84375
Col 70 Sector ET-R b34-0,Col 70 Sector,Unknown,739.8125,-365.59375,-851.65625
Col 70 Sector EV-M c8-1,Col 70 Sector,Unknown,888.96875,-321.03125,-1247.78125
Col 70 Sector EW-K b38-0,Col 70 Sector,Unknown,455.53125,-361.21875,-781.0625
Col 70 Sector EX-I b26-0,Col 70 Sector,Unknown,176.15625,-241,-1041.6875
Col 70 Sector EX-K d8-8,Col 70 Sector,Unknown,153.125,-529,-876.59375
Col 70 Sector EX-Q c19-2,Col 70 Sector,Unknown,714.65625,-472.34375,-770.3125
Col 70 Sector EX-R b21-0,Col 70 Sector,Unknown,100.59375,-221.1875,-1142.3125
Col 70 Sector EY-R b34-0,Col 70 Sector,Unknown,781.40625,-352.25,-850.6875
Col 70 Sector FA-G b27-0,Col 70 Sector,Unknown,410.875,-358.625,-1024.1875
Col 70 Sector FA-O c7-1,Col 70 Sector,Unknown,816.125,-437.15625,-1271.78125
Col 70 Sector FA-S c19-1,Col 70 Sector,Unknown,214.625,-236.1875,-765.09375
Col 70 Sector FA-X c2-0,Col 70 Sector,Unknown,660.15625,-421.5625,-1501.09375
Col 70 Sector FA-Y b30-0,Col 70 Sector,Unknown,400.375,-459.34375,-940.34375
Col 70 Sector FA-Y c1-0,Col 70 Sector,Unknown,496.8125,-554.09375,-1520.40625
Col 70 Sector FB-M b37-0,Col 70 Sector,Unknown,439.53125,-419.65625,-802.09375
Col 70 Sector FB-P b9-0,Col 70 Sector,Unknown,693,-187.65625,-1399.78125
Col 70 Sector FC-I b40-1,Col 70 Sector,Unknown,488.40625,-266.1875,-734.21875
Col 70 Sector FC-I c11-3,Col 70 Sector,Unknown,667.84375,-206.15625,-1140.71875
Col 70 Sector FD-I d10-27,Col 70 Sector,Unknown,237.3125,-258.75,-726.96875
Col 70 Sector FD-I d10-6,Col 70 Sector,Unknown,208.40625,-215,-742.75
Col 70 Sector FD-Y c15-1,Col 70 Sector,Unknown,424.46875,-462.3125,-940.34375
Col 70 Sector FE-M c9-4,Col 70 Sector,Unknown,186.625,-75.875,-1208.4375
Col 70 Sector FE-W c16-0,Col 70 Sector,Unknown,179.625,-499.28125,-902.96875
Col 70 Sector FE-W c16-1,Col 70 Sector,Unknown,177.25,-486.34375,-904.59375
Col 70 Sector FG-W d2-18,Col 70 Sector,Unknown,680.625,-237.625,-1376.875
Col 70 Sector FG-W d2-9,Col 70 Sector,Unknown,665.5625,-231.875,-1350.5625
Col 70 Sector FI-I d10-9,Col 70 Sector,Unknown,363.1875,-177.21875,-731.15625
Col 70 Sector FK-B c15-2,Col 70 Sector,Unknown,177.78125,-125.5,-979.8125
Col 70 Sector FK-S c19-1,Col 70 Sector,Unknown,370.78125,-173.625,-774.125
Col 70 Sector FK-S c19-2,Col 70 Sector,Unknown,358.59375,-159.375,-780.625
Col 70 Sector FK-S c19-4,Col 70 Sector,Unknown,362.0625,-158.6875,-768.125
Col 70 Sector FK-T c18-2,Col 70 Sector,Unknown,182.84375,-331.46875,-789.28125
Col 70 Sector FM-H b28-0,Col 70 Sector,Unknown,477.65625,-7.125,-1004.46875
Col 70 Sector FM-H b28-1,Col 70 Sector,Unknown,477.625,-7.09375,-1001.90625
Col 70 Sector FM-V e2-1,Col 70 Sector,Unknown,99.84375,-230.125,-1118.6875
Col 70 Sector FN-E b30-1,Col 70 Sector,Unknown,437.9375,42.71875,-962.78125
Col 70 Sector FN-G c12-3,Col 70 Sector,Unknown,583.625,-164,-1100
Col 70 Sector FN-Q b22-0,Col 70 Sector,Unknown,130.65625,-183.15625,-1108.09375
Col 70 Sector FN-U b32-0,Col 70 Sector,Unknown,763.28125,-454.5,-901.53125
Col 70 Sector FN-V b31-0,Col 70 Sector,Unknown,679.84375,-541.9375,-924.15625
Col 70 Sector FO-N b37-0,Col 70 Sector,Unknown,247.59375,-254.3125,-803.625
Col 70 Sector FO-O b36-0,Col 70 Sector,Unknown,157.9375,-325.3125,-815.8125
Col 70 Sector FP-N b37-0,Col 70 Sector,Unknown,766.8125,-253,-793.78125
Col 70 Sector FS-B b42-0,Col 70 Sector,Unknown,251.03125,-567.96875,-697.75
Col 70 Sector FT-F b41-0,Col 70 Sector,Unknown,292.875,-334,-710.1875
Col 70 Sector FT-W b45-0,Col 70 Sector,Unknown,357.5625,-361.21875,-619.96875
Col 70 Sector FV-X d1-3,Col 70 Sector,Unknown,867.4375,-332.03125,-1385.6875
Col 70 Sector FV-X d1-4,Col 70 Sector,Unknown,864.9375,-334.9375,-1385.90625
Col 70 Sector FW-Q b23-1,Col 70 Sector,Unknown,477.25,45.25,-1099.1875
Col 70 Sector FX-I b26-0,Col 70 Sector,Unknown,195.28125,-237.4375,-1038
Col 70 Sector FX-Q c19-2,Col 70 Sector,Unknown,754.8125,-465.28125,-758.78125
Col 70 Sector FX-R b21-0,Col 70 Sector,Unknown,127.84375,-209.5625,-1143.21875
Col 70 Sector FY-N c21-1,Col 70 Sector,Unknown,689.28125,-362.1875,-696.8125
Col 70 Sector FY-N c21-3,Col 70 Sector,Unknown,687.0625,-362.53125,-697.0625
Col 70 Sector FZ-M b37-0,Col 70 Sector,Unknown,124.125,-314.34375,-797.34375
Col 70 Sector GB-L c9-6,Col 70 Sector,Unknown,804.625,-337.46875,-1213.78125
