System,link0_X,link0_Y,link0_Z,Linked system 1,link1_X,link1_Y,link1_Z,Linked system 2,link2_X,link2_Y,link2_Z,Points to system,target_X,target_Y,target_Z,Related discovery,Canonn,Other,Notes,Solved?
Col 285 Sector KL-Y b16-2,-215.6875,160.84375,-1.59375,Col 285 Sector SR-F b13-1,-213.46875,180.96875,-72.0625,HIP 73773,-126.625,138.5625,-28.4375,Col 285 Sector OZ-N c7-13,-189.21875,159.875,-34.84375,Exploration Camp JSPR-003,https://canonn.science/codex/exploration-camp-jspr-003/,,,yes
Col 285 Sector KM-V b18-3,-249.53125,227.75,48.34375,HR 6514,-326.5,218.9375,16.21875,Wredguia IT-J b51-2,-333.84375,262.90625,43.9375,HIP 83237,-305.21875,235.3125,34.15625,Site 16,https://canonn.science/codex/site-16/,,,yes
Col 285 Sector KO-E b26-3,73.34375,-84.59375,196.78125,HIP 97146,15.75,-91.3125,168.125,Pulano,58.21875,-75.90625,140.0,Col 285 Sector BG-O d6-93,45.78125,-83.84375,161.90625,Communication Array Delta 69,https://canonn.science/codex/communication-array-delta-69/,,,yes
Col 285 Sector LJ-P c6-17,-306.0625,73.6875,-83.71875,Col 285 Sector ML-Z b15-5,-256.0,79.75,-23.53125,HIP 98328,-348.34375,80.78125,6.1875,Alshat,-119.375,-111.125,193.71875,SRV-Odysseus,https://canonn.science/codex/srv-odysseus/,,Related to nearby Expedition Vessel Odysseus which has its own set of LPs,yes
Col 285 Sector LU-M c8-6,-249.0,264.25,1.8125,Col 285 Sector QA-L c9-3,-220.8125,263.4375,35.21875,Col 285 Sector RV-K c9-8,-242.59375,227.1875,32.6875,Col 285 Sector FL-X b17-3,-238.6875,253.875,20.15625,Medical Research Base MIR-14,https://canonn.science/codex/medical-research-base-mir-14/,,,yes
Col 285 Sector NO-Q d5-59,-256.03125,151.59375,125.375,Col 359 Sector QC-B c1-11,-317.21875,177.71875,148.375,Col 359 Sector QI-Z c1-11,-502.0625,182.71875,190.0625,HIP 86908,-273.71875,164.6875,150.1875,Quarantine Site UC-001,https://canonn.science/codex/quarantine-site-uc-001/,,,yes
Col 285 Sector NV-N b7-4,168.0625,-73.90625,-192,,,,,,,,,Synuefe FM-S B37-4,208.71875,-138.84375,-255.4375,Hesperus beacon TX-B-03,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Col 285 Sector OR-F b26-2,-139.46875,41.5625,200.21875,Col 285 Sector YC-F b26-9,-55.875,-14.0,203.28125,Temnet,-83.0625,35.0,116.46875,HR 6890,-91.3125,13.625,179.625,Transmitter VJS-81,https://canonn.science/codex/transmitter-vjs-81/,,,yes
Col 285 Sector WH-O a22-2,143.75,-33.5625,-106.53125,,,,,,,,,Col 285 Sector NV-N b7-4,168.0625,-73.90625,-192,Hesperus beacon TX-B-02,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Col 359 Sector HT-H b40-2,27.40625,188.65625,979.875,Col 359 Sector NZ-F b41-1,60.8125,185.90625,1014.28125,Col 359 Sector UE-G d11-8,-17.21875,179.3125,1054.5,Col 359 Sector RY-H d10-58,19.53125,177.90625,1013.5,Exploration Camp JSPR-003 (#2),https://canonn.science/codex/exploration-camp-jspr-003-2/,,"This camp has the same name, layout, and backstory as the one on Col 285 Sector OZ-N c7-13 BC 3",yes
Col 359 Sector KB-W D2-47,0.65625,149.78125,306.5625,Col 359 Sector TV-J B11-4,19.0625,123.375,371.09375,Praea Euq NN-S b4-0,80.125,115.96875,320.875,HR 6051,34.03125,124.53125,330.15625,Trading Vessel MD-002,https://canonn.science/codex/trading-vessel-md-002/,,,yes
Col 359 Sector LH-J b10-5,-542.21875,-114.59375,345.25,Col 359 Sector NH-J b10-1,-496.5,-119.25,339.1875,Col 359 Sector RN-S c4-14,-526.78125,-105.53125,300.59375,Col 359 Sector RN-S c4-12,-519.59375,-111.40625,327.78125,Medical Research Base BJI-86,https://canonn.science/codex/medical-research-base-bji-86/,,,yes
Col 69 Sector JI-I c10-4,439.40625,-237.59375,-1208.71875,,,,,,,,,Wregoe DK-R b4-1,171.65625,7.5625,-951.1875,Commander Hyford storyline (2/4),https://canonn.science/codex/colonia-crash-site/,https://www.youtube.com/watch?v=hisbQoaDox8,"Series of LPs, but story begins at ""Commander Hyford storyline (start)"" in Colonia",yes
Col 69 Sector LY-H c10-0,359.75,-325.03125,-1185.3125,,,,,,,,,Trapezium Sector YU-X c1-2,573.59375,-339.46875,-1167.65625,"Hesperus beacon TX-B-17, Proteus",https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,Final beacon left behind by the Hesperus crew that escaped in the Proteus,yes
Col 69 Sector VK-E c12-10,440.84375,-309.40625,-1136.9375,,,,,,,,,Col 69 Sector LY-H c10-0,359.75,-325.03125,-1185.3125,Hesperus beacon TX-B-16,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Colonia,-9530.5,-910.28125,19808.125,,,,,,,,,,,,,Pilots' Memorial: Colonia,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
Colonia,-9530.5,-910.28125,19808.125,Wasat,16.3125,17.125,-55.65625,Neche,63.6875,12.90625,-13.09375,Colonia,-9530.5,-910.28125,19808.125,Commander Hyford storyline (start),https://canonn.science/codex/colonia-crash-site/,https://www.youtube.com/watch?v=WJI0J4sOxS8&t=591s,,yes
Colonia,-9530.5,-910.28125,19808.125,,,,,,,,,,,,,Memorial for CMDR Garak,,,,yes
Delphi,-63.59375,-147.40625,-319.09375,HIP 16753,-88.3125,-172.9375,-348.84375,Pleiades Sector OI-T c3-7,-69.4375,-180.4375,-287.625,HIP 16613,-63.9375,-186.6875,-325.4375,"The Bug Killer (Crashed Anaconda, SRV)",https://canonn.science/codex/bug-killer-crashed-anaconda/,,"System ""Pleiades Sector IR-W d1-55"" was renamed to Delphi",yes
Dromi,25.40625,-31.0625,41.625,,,,,,,,,,,,,Pilots' Memorial: Dromi,,https://forums.frontier.co.uk/threads/elite-dangerous-in-game-memorials.566260/,,yes
EE Leonis,11.28125,18.09375,-5.5625,,,,,,,,,Charick Drift,8.1875,26.71875,-6.0625,Generation Ship Atlas,https://canonn.science/codex/generation-ship-atlas/,,,yes
Electra,-86.0625,-159.9375,-361.65625,Pleiades Sector KC-V c2-4,-88.8125,-148.71875,-321.1875,Pleiades Sector PD-S b4-0,-80.625,-156.6875,-337.4375,HIP 16217,-107.84375,-155.5625,-333.28125,Penal Colony BV-2259,https://canonn.science/codex/penal-colony-bv-2259/,,,yes
Evelyn`s Light,-9236.0625,-1326.03125,19330.03125,,,,,,,,,,,,,Memorial for CMDR Evelyn Faye Roy,,,,yes
Flame Sector PI-T b3-0,378.59375,-340.6875,-882.15625,,,,,,,,,NGC 1999 Sector HN-S B4-0,455.625,-343.8125,-941.4375,Hesperus beacon TX-B-12,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
Gliese 452.3,30.0,127.6875,-15.5,HR 4535,58.4375,195.59375,-22.6875,Mel 111 Sector CL-P b5-1,-20.25,208.96875,-13.8125,Col 285 Sector YF-M c8-8,26.8125,162.78125,-20.1875,Jackson Enterprise,https://canonn.science/codex/jackson-enterprise/,,,yes
Graffias,41.46875,157.96875,369.6875,Lupus Dark Region JY-Q b5-1,117.1875,139.6875,357.09375,Lupus Dark Region DW-V b2-1,78.65625,177.90625,423.46875,HR 5906,81.65625,154.53125,382.21875,Unregistered Derelict (Anaconda),https://canonn.science/codex/unregistered-derelict/,,,yes
Halbangaay,-51.9375,-95.625,10.0625,,,,,,,,,Kachirigin,-105.375,-73.34375,27.75,Megaship Welcome Deviation,https://canonn.science/codex/the-welcome-deviation-story/,,Megaship messages further lead to Scientific Installation Relay Station JE-6060 near Guara 4,yes
HD 63587,23.0625,481.875,-894.25,HIP 37105,-10.21875,469.34375,-960.84375,Wregoe RZ-W c2-1,85.875,479.1875,-930.65625,Wregoe TJ-Z d6,27.96875,479.40625,-928.09375,Colony Site BNI-87,https://canonn.science/codex/colony-site-bni-87/,https://imgur.com/a/m2Yj8az,,yes
Heart Sector EB-X c1-12,-5313.03125,164.8125,-5282.1875,,,,,,,,,,,,,Memorial for CMDR Alex McKinnon,,https://twitter.com/elitedangerous/status/1297164141304651776,,yes
Heart Sector IR-V b2-0,-5303.78125,130.34375,-5305.40625,,,,,,,,,,,,,Memorial for CMDR Fluk,,,,yes
HIP 105408,18.15625,-147.71875,145.5,,,,,,,,,HIP 106288,15.5625,-158.0625,145.78125,Janus Corp. Medical Research Centre,https://canonn.science/codex/janus-corp-medical-research-centre/,,,yes
HIP 15787,-134.125,-116.21875,-308.28125,Pleiades Sector IH-V c2-16,-92.0,-143.5,-341.3125,Pleiades Sector AB-W b2-4,-137.5625,-118.25,-380.4375,Pleiades Sector JN-S b4-3,-112.78125,-109.03125,-333.71875,Scrump Landing,https://canonn.science/codex/scrump-landing/,,,yes
HIP 16431,-109.15625,-159.5,-348.21875,Taygeta,-88.5,-159.6875,-366.28125,Pleiades Sector DL-Y d40,-99.15625,-146.53125,-382.09375,HIP 17403,-93.6875,-158.96875,-367.625,Research Base LV 87,https://canonn.science/codex/research-base-lv-87/,,,yes
HIP 17044,-74.25,-129.53125,-283.15625,Pleiades Sector IH-V c2-5,-78.71875,-138.03125,-321.78125,Pleiades Sector HR-W d1-57,-86.40625,-125.15625,-301.84375,Pleiades Sector HR-W d1-17,-84.875,-123.8125,-315.25,Research Base KG-3362,https://canonn.science/codex/research-base-kg-3362/,,,yes
HIP 17225,-86.15625,-165.59375,-356.8125,Pleiades Sector IH-V c2-16,-92.0,-143.5,-341.3125,,,,,Celaeno,-81.09375,-148.3125,-337.09375,Relay Station PSJ-17,https://canonn.science/codex/relay-station-psj-17/,,,yes
HIP 17694,-72.25,-152.53125,-338.6875,Maia,-81.78125,-149.4375,-343.375,Pleiades Sector GW-W c1-13,-77.375,-156.3125,-352.03125,Pleiades Sector GW-W c1-15,-76.9375,-153.71875,-346.625,Dominic’s Corner,https://canonn.science/codex/dominics-corner/,,,yes
HIP 17892,-70.75,-157.9375,-352.84375,HR 1185,-64.65625,-148.9375,-330.40625,Pleiades Sector PD-S b4-0,-80.625,-156.6875,-337.4375,HR 1172,-75.1875,-152.40625,-346.59375,Comms Facility 89563,https://canonn.science/codex/comms-facility-89563/,,,yes
HIP 17892,-70.75,-157.9375,-352.84375,HIP 19072,-54.28125,-121.03125,-323.0625,Pleione,-77.0,-146.78125,-344.125,HIP 19792,-70.15625,-103.21875,-355.84375,Betterton Outpost,https://canonn.science/codex/betterton-outpost/,,,yes
HIP 19072,-54.28125,-121.03125,-323.0625,Merope,-78.59375,-149.625,-340.53125,Pleiades Sector AB-W b2-4,-137.5625,-118.25,-380.4375,HIP 14909,-84.375,-259.28125,-358.65625,Thargoid Structure,https://canonn.science/codex/hip-14909-distress-call/,,Led to first Thargoid structure found on HIP 14909 2 a. The original distress call no longer exists.,yes
HIP 19847,-24.84375,-153.46875,-377.46875,HR 1183,-72.875,-145.09375,-336.96875,Pleiades Sector HR-W d1-79,-80.625,-146.65625,-343.25,HIP 19284,-25.40625,-164.875,-365.40625,Site 94,https://canonn.science/codex/site-94/,,,yes
HIP 21559,-42.09375,-7.40625,-129.5,,,,,,,,,Mentor,-27.65625,-3.5,-85.53125,Vanguard Navigation Beacon,https://canonn.science/codex/eagle-eye-history/,https://elite-dangerous.fandom.com/wiki/Vanguard,"Vanguard was a Flight Operations Carrier Megaship, no sightings since Dec 13, 3304. Believed to be retired by Aegis. Mentioned on Eagle Eye article on Week 3: 22 March 3304.",yes
HIP 26176,394.4375,-323.53125,-1431.84375,,,,,,,,,Col 69 Sector JI-I c10-4,439.40625,-237.59375,-1208.71875,Commander Hyford storyline (1/4),https://canonn.science/codex/colonia-crash-site/,https://www.youtube.com/watch?v=hisbQoaDox8,"Series of LPs, but story begins at ""Commander Hyford storyline (start)"" in Colonia",yes
HIP 290,-6.625,-207.8125,38.15625,,,,,,,,,Saffron,72.875,-117.75,55.78125,Omega Grid lore,https://canonn.science/codex/omega-grid/,https://community.elitedangerous.com/galnet/uid/61fbf222bc946221076daa5b,Gives a follow-up inbox msg the next day. Series of beacons with Omega Grid lore with Galnet posts,yes
HIP 44101,156.6875,22.28125,-33.0625,,,,,,,,,Col 285 Sector WH-O a22-2,143.75,-33.5625,-106.53125,Hesperus beacon TX-B-01,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
HIP 49538,366.40625,9.5,67.8125,HIP 54181,345.0,1.84375,127.125,Wregoe PV-C c26-16,317.375,31.34375,84.3125,Wregoe JI-B d13-130,336.46875,12.5,93.6875,Site 426,https://canonn.science/codex/site-426/,,,yes
HIP 98406,-199.03125,-93.03125,241.09375,Swoiwns YM-J b1-6,-128.78125,-112.15625,252.78125,Tseen Foo,-181.78125,-91.25,201.5625,Col 285 Sector EP-C b27-3,-175.03125,-103.03125,232.28125,Unlisted Wreckage Site,https://canonn.science/codex/unlisted-wreckage-site/,,,yes
Horsehead Sector CB-O b6-0,376.8125,-332.875,-784.84375,,,,,,,,,Flame Sector PI-T b3-0,378.59375,-340.6875,-882.15625,Hesperus beacon TX-B-11,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
HR 1185,-64.65625,-148.9375,-330.40625,Pleiades Sector HR-W d1-57,-86.40625,-125.15625,-301.84375,,,,,HIP 17746,-43.40625,-180.53125,-337.375,Recon 6 Crash Site (DBX),https://canonn.science/codex/recon-6/,,Eventually leading to a Thargoid Structure in Pleiades Sector OS-U c2-7,yes
Hyperion,-51.1875,7.5,-16.71875,,,,,,,,,,,,,Memorial for CMDR Adam Taylor,,,Incorrectly shows up as Faction Owned Installation on Nav panel,yes
Irandan,-86.375,-12.40625,-125.0625,,,,,,,,,Assinda,-70.3125,-118.90625,-112.125,Acropolis Navigation Beacon,https://canonn.science/codex/eagle-eye-history/,https://elite-dangerous.fandom.com/wiki/Acropolis,"Acropolis was a Flight Operations Carrier Megaship, no sightings since Dec 13, 3304. Believed to be retired by Aegis. Mentioned on Eagle Eye article on Week 3: 22 March 3304.",yes
Jotunheim,66.03125,-110.875,52.6875,,,,,,,,,Sheron,61.40625,182.1875,566,Megaship GCS Sarasvati,https://canonn.science/codex/gcs-sarasvati/,,Partly encoded msg points to system IC 4604 Sector FB-X c1-16 which was renamed to Sheron,yes
LHS 1047,-3.84375,-15.8125,0.21875,,,,,,,,,LHS 1047,-3.84375,-15.8125,0.21875,Generation Ship Lycaon,https://canonn.science/codex/generation-ship-lycaon/,,,yes
LHS 1596,-38.5625,14.40625,-38.21875,,,,,,,,,LHS 1596,-38.5625,14.40625,-38.21875,Generation Ship Hyperion,https://canonn.science/codex/generation-ship-hyperion/,,,yes
LHS 2206,11.40625,25.1875,-18.5,,,,,,,,,Nefertem,38.125,30.875,-21.25,Generation Ship Thetis,https://canonn.science/codex/generation-ship-thetis/,,,yes
LP 855-10,24.6875,24.46875,22.1875,,,,,,,,,Kitae,-13.5,24.75,-56.46875,Generation Ship Venusian,https://canonn.science/codex/generation-ship-venusian/,,,yes
LP 926-40,-9.78125,-26.71875,45.1875,,,,,,,,,VESPER-M4,-3.6875,-22.53125,57,Slough Unauthorised Installation,https://canonn.science/codex/slough-unauthorised-installation/,,The start of the trail leading to this listening post was found in the Altair Herald,yes
Lupus Dark Region AF-Z b1,184.0,121.6875,333.25,Praea Euq FV-Y c12,220.21875,113.65625,282.96875,Praea Euq MR-W c1-20,198.03125,41.59375,332.15625,HR 5625,197.5625,85.40625,322.03125,Trading Vessel MD-003,https://canonn.science/codex/trading-vessel-md-003/,,,yes
Maia,-81.78125,-149.4375,-343.375,,,,,,,,,Electra,-86.0625,-159.9375,-361.65625,Communication Hub Zeta 12,https://canonn.science/codex/communication-hub-zeta-12/,,Encoded beacon at station further points to Thargoid Structure on HIP 16572 A 4,yes
Maidjin,33.15625,-85.75,99.71875,,,,,,,,,Zhao Jin,125.25,-43.875,27.53125,Omega Grid lore,https://canonn.science/codex/omega-grid/,,Gives a follow-up inbox msg the next day. Series of beacons with Omega Grid lore with Galnet posts,yes
Merope,-78.59375,-149.625,-340.53125,Pleiades Sector HR-W d1-74,-87.40625,-150.90625,-344.96875,Pleiades Sector KX-T b3-1,-100.28125,-153.53125,-346.03125,Pleiades Sector IC-U b3-1,-90.1875,-135.15625,-348.3125,Sharpe Works,https://canonn.science/codex/sharpe-works/,,Led to first Thargoid structure found on HIP 14909 2 a. The original distress call no longer exists.,yes
NGC 1999 Sector HN-S B4-0,455.625,-343.8125,-941.4375,,,,,,,,,NGC 1999 Sector ZU-X b1-0,536.375,-339.3125,-991.59375,Hesperus beacon TX-B-13,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
NGC 1999 Sector ZU-X b1-0,536.375,-339.3125,-991.59375,,,,,,,,,Trapezium Sector FH-U c3-3,507.25,-336.1875,-1078.125,Hesperus beacon TX-B-14,https://canonn.science/codex/proteus/,https://inara.cz/galaxy-logbooks/61035/,"Trail of beacons left behind on the path of the Hesperus, see inara link for an interesting logbook.",yes
NGC 2632 Sector IW-W c1-0,258.625,258.1875,-544.75,Wregoe IJ-M b22-0,305.125,260.5,-580.03125,Plio Eurl JI-H b25-0,2445.21875,288.0,-519.875,Wregoe VK-E c12-0,298.125,256.75,-542.21875,Columbus Expedition Camp 14,https://canonn.science/codex/columbus-expedition-camp-14/,,"LPs link to non-existant system Wregoe VK-H b25-0, galaxy map resolves it to Plio Eurl JI-H b25-0",yes
NLTT 55164,-13.375,-21.65625,6.59375,,,,,,,,,Mu Cassiopeia,-26.125,-24.625,17.34375,Generation Ship Artemis,https://canonn.science/codex/generation-ship-artemis/,,,yes
Pleiades Sector IH-V c2-5,-78.71875,-138.03125,-321.78125,,,,,,,,,HIP 17125,-95.875,-128.75,-316.5625,Survey Vessel Victoria’s Song,https://canonn.science/codex/survey-vessel-victorias-song/,,(There are two Listening Posts at this body),yes
Pollux,6.71875,13.71875,-30.125,,,,,,,,,,,,,Memorial for CMDR Tony Pox,,https://forums.frontier.co.uk/threads/clarification-on-pollux-listening-post.421679/,,yes
Praea Euq AQ-X c1-8,142.59375,227.71875,257.34375,Praea Euq BQ-X C1-11,160.3125,220.0625,306.78125,Praea Euq XJ-Z c0,142.59375,227.71875,257.34375,Praea Euq WO-A d22,139.53125,223.03125,291.5625,Transport Vessel Solomon,https://canonn.science/codex/transport-vessel-solomon/,https://imgur.com/a/f2xYwTz,,yes
Puppis Sector FB-X b1-4,66.21875,15.21875,-43.46875,,,,,,,,,Hez Ur,149.96875,23.65625,-85.03125,Generation Ship Pleione,https://canonn.science/codex/generation-ship-pleione/,,,yes
Quiness,-46.46875,37.78125,-24.9375,,,,,,,,,Ross 690,-28.40625,47.8125,-21.96875,Halley Terminal,https://canonn.science/codex/halley-terminal/,https://community.elitedangerous.com/en/galnet/27-JAN-3301,LP points to installation in Karis system but that's an unrelated installation. See Canonn link.,yes
