siteID,system,planet,status,locationLat,locationLon,msg1,msg2,msg3,timesReferenced,galacticX,galacticY,galacticZ,discoveredBy
TS50,HIP 22382,5 E,✔,16.9899,-32.5445,TS82,TS4,TS75,2,-28.91,-60.03125,-315.34375,
TS51,SYNUEFE LD-A C17-1,B 1 C,✔,-71.1251,66.0517,TS57,TS63,TS60,3,-20.56,-61.75,-344.0625,
TS52,DELPHI,5 A,✔,-36.5491,-143.6091,TS64,TS46,TS58,2,-63.59,-147.40625,-319.09375,
TS53,ARIES DARK REGION MS-T C3-15,1 A,✘,-10.1076,92.2843,X,X,X,1,-57.22,-134.28125,-215.34375,
TS54,ARIES DARK REGION FW-W D1-59,A 5 A,✘,-34.6857,-54.7454,X,X,X,1,-108.66,-128.28125,-223.03125,
TS55,HIP 18778,A 2 A,✔,-0.6282,140.4103,TS77,TS59,TS78,3,11.47,-236.5625,-398.21875,
TS56,COL 285 SECTOR IL-X C1-16,A 4 A,✘,-76.007,-96.1867,X,X,X,1,29.72,-76.96875,-296.3125,
TS57,SYNUEFE LD-A C17-3,AB 2 F,✔,3.1594,24.6321,TS68,TS67,TS51,3,-23.03,-62.875,-339.375,
TS58,PLEIADES SECTOR WE-Q B5-2,1 A,✔,49.0882,-159.7362,TS66,TS39,TS65,1,-52.59,-180.46875,-306.4375,
TS59,HIP 20318,3 A,✔,31.254,-87.6853,TS61,TS62,TS48,3,28.38,-196.90625,-400.09375,
TS60,HIP 25274,8 A,✘,66.3918,6.9695,X,X,X,1,18.81,-39.40625,-320,
TS61,STRUVE'S LOST SECTOR NN-T C3-1,ABCD 1 A,✔,27.3204,134.839,TS74,TS48,TS79,4,13.53,-173.15625,-387.96875,
TS62,STRUVE'S LOST SECTOR NN-T C3-6,1 C,✔,-53.2853,130.7533,TS74,TS59,TS61,4,8.16,-178.40625,-410.09375,
TS63,COL 285 SECTOR IL-X C1-4,A 2 C,✘,24.0676,-175.1989,X,X,X,1,30.31,-65.21875,-294.8125,
TS64,HIP 17694,B 7 F,✘,17.9523,-96.769,X,X,X,3,-72.25,-152.53125,-338.6875,
TS65,PLEIADES SECTOR IR-W D1-38,ABCD 1 A,✘,-14.9126,-108.3329,X,X,X,1,-35.25,-171.8125,-324.4375,
TS66,PLEIADES SECTOR IR-W D1-61,BC 1 A,✘,16.2778,156.3799,X,X,X,1,-50.09,-180.84375,-291.46875,
TS67,HIP 22118,B 3 A,✔,-55.0941,155.6531,TS70,TS73,TS72,1,-7.78,-92.4375,-349.9375,
TS68,PLEIADES SECTOR IM-V C2-16,ABC 2 A,✘,3.2208,11.7039,X,X,X,1,-9.88,-99.53125,-329.03125,
TS69,TAURUS DARK REGION IR-W D1-47,A 3 A,✔,-29.1297,-64.9776,TS62,TS74,TS71,2,0.34,-145.03125,-422.4375,
TS70,PLEIADES SECTOR GW-W D1-65,10 F,✘,-1.952,105.5397,X,X,X,2,-8.94,-94.6875,-343.96875,
TS71,HIP 21251,A 8 C,✔,-4.3562,117.895,TS69,TS74,TS62,2,-2.09,-143.65625,-413.59375,
TS72,PLEIADES SECTOR KH-V C2-7,7 F,✘,10.2451,-57.1205,X,X,X,1,3.81,-105.09375,-327.96875,
TS73,HIP 17044,1 B,✔,-25.2169,19.5864,TS92,TS88,TS86,2,-74.25,-129.53125,-283.15625,
TS74,TAURUS DARK REGION OX-U C2-10,4 B,✔,-8.9625,151.9945,TS71,TS69,TS61,4,11.72,-147.65625,-400.25,
TS75,HIP 23022,B 2 A,✔,27.9425,-129.5034,TS57,TS51,TS76,2,-30.38,-51.1875,-338.15625,
TS76,COL 285 SECTOR YO-Z C19,B 2 A,✘,46.8135,-120.6927,X,X,X,1,-48.31,-5.5,-334.09375,
TS77,HIP 18117,5 D,✔,-27.0405,-51.5551,TS78,TS77,TS55,3,-19.50,-243.46875,-415.28125,
TS78,STRUVE'S LOST SECTOR OI-T C3-3,2 B,✔,10.4805,1.7204,TS80,TS77,TS81,3,-32.28,-219.6875,-405.125,
TS79,HIP 19665,8 B,✔,-15.8376,-106.2342,TS81,TS83,TS84,3,-47.13,-177.75,-457.9375,
TS80,PLEIADES SECTOR GG-Y D33,3 A,✔,-1.0307,-155.0255,TS91,TS93,TS78,3,-37.50,-204.25,-386.3125,
TS81,PLEIADES SECTOR DQ-Y C4,6 A,✔,-11.3492,21.792,TS80,TS79,TS85,3,-60.41,-182.3125,-420.03125,
TS82,COL 285 SECTOR CV-Y D71,5 D,✘,-40.069,-149.5349,X,X,X,1,-45.56,-31.71875,-324.65625,
TS83,HIP 20644,A 2 D,✔,45.9043,-46.3383,TS87,TS89,TS84,3,-50.34,-142.375,-465.125,
TS84,TAURUS DARK REGION QN-T B3-0,1 B,✔,36.0025,136.0272,TS83,TS79,TS87,3,-40.13,-144.0625,-460.6875,
TS85,HIP 19549,A 2 C,✔,16.8664,7.3309,TS81,TS93,TS91,3,-29.66,-169.25,-398.25,
TS86,ARIES DARK REGION KH-V C2-4,7 A,✔,53.5298,-15.1728,TS106,TS32,TS90,1,-33.22,-180.25,-245,
TS87,TAURUS DARK REGION BV-Y C11,8 A,✔,-34.9228,124.9054,TS83,TS84,TS94,3,-34.53,-104.71875,-468.84375,
TS88,HIP 17837,A 4 B,✔,73.9072,176.1945,TS97,TS73,TS100,2,-52.16,-130.75,-279.9375,
TS89,HIND SECTOR GR-W D1-13,8 H,✘,24.5778,-129.9434,X,X,X,1,-78.28,-199.59375,-473.1875,
TS90,ARIES DARK REGION HR-W D1-34,2 A,✔,-42.187,72.608,TS95,TS121,TS122,1,-69.34,-197.6875,-253.875,
TS91,PLEIADES SECTOR MM-V B2-2,1 B,✔,34.0179,-179.0716,TS80,TS85,TS93,3,-21.03,-179.78125,-383.75,
TS92,HIP 11981,A 5 A,✔,-31.0007,-54.2341,TS120,TS117,TS111,1,-153.59,-123.5,-234.4375,
TS93,HIP 18730,3 G A,✔,15.2412,-45.352,TS91,TS55,TS85,3,-24.13,-186.6875,-369.25,
TS94,TAURUS DARK REGION CQ-Y D31,3 C,✔,-45.3895,46.9644,TS96,TS98,TS87,3,-40.94,-90.09375,-446.375,
TS95,ARIES DARK REGION VT-R B4-0,A 6,✔,-22.6271,-15.8986,TS106,TS20,TS109,2,-61.38,-220.8125,-261.46875,
TS96,PLEIADES SECTOR ZZ-Y C14,A 1 A,✔,13.0667,-27.9931,TS102,TS101,TS99,3,-38.19,-100.25,-411.5625,
TS97,ARIES DARK REGION MS-T C3-2,A 1 A,✘,-4.198,-48.9098,X,X,X,1,-29.31,-138.25,-221.90625,
TS98,HIP 22375,3 A,✔,65.9622,32.9774,TS110,TS94,TS104,3,-66.91,-66.75,-454.25,
TS99,PLEIADES SECTOR AV-Y C7,1 B,✔,-9.4777,-95.4254,TS103,TS104,TS107,4,-65.06,-110.625,-424.3125,
TS100,ARIES DARK REGION DB-X D1-64,4 A,✘,-17.2871,137.3867,X,X,X,1,-107.56,-99.90625,-239.25,
TS101,PLEIADES SECTOR IX-S B4-1,10 A,✔,-2.1361,-50.3902,TS75,TS114,TS50,2,-60.78,-79.53125,-344.90625,
TS102,TAURUS DARK REGION JH-V C2-9,AB 1 A,✔,61.2111,47.3937,TS107,TS96,TS105,3,-35.13,-77.3125,-408.3125,
TS103,PLEIADES SECTOR EL-Y D23,ABCD 1 A,✔,-53.1279,79.7963,TS115,TS101,TS99,2,-39.63,-133.125,-410.625,
TS104,TAURUS DARK REGION QO-Q B5-0,B 2 A,✔,-32.2019,24.7648,TS99,TS98,TS126,2,-83.75,-84.21875,-419.5625,
TS105,HIP 22743,B 1 A,✔,16.9399,-53.3368,TS108,TS102,TS70,3,-11.34,-86.5,-399.84375,
TS106,PLEIADES SECTOR MX-U D2-63,1 A,✘,-43.8597,85.8209,X,X,X,2,-49.84,-178.84375,-256.6875,
TS107,TAURUS DARK REGION CQ-Y D36,7 A,✔,73.2347,168.6743,TS105,TS94,TS96,2,5.00,-94.625,-435,
TS108,HIP 22334,1 D,✔,-54.513,-32.504,TS105,TS102,TS112,3,-24.03,-85.5,-393.78125,
TS109,PLEIADES SECTOR MX-U D2-54,4 E,✔,-37.9907,140.6388,TS118,TS88,TS42,1,-53.34,-122.53125,-260.28125,
TS110,HIP 21373,2 F,✔,-11.2222,-80.0124,TS113,TS98,TS119,4,-76.69,-93.03125,-460.65625,
TS111,COL 285 SECTOR GW-W D1-66,A 3,✘,-29.0123,-153.8312,X,X,X,2,-180.13,-125.90625,-233.53125,
TS112,HIP 21348,A 2 B,✔,50.3117,11.1931,TS115,TS108,TS114,3,-26.84,-107.90625,-379.40625,
TS113,TAURUS DARK REGION DL-Y D54,ABC 1 C,✔,-20.9913,-31.436,TS119,TS123,TS110,4,-88.53,-124.65625,-453.40625,
TS114,PLEIADES SECTOR DG-X C1-14,AB 1 A,✔,-32.6965,-169.7781,TS108,TS125,TS112,2,-45.63,-80.78125,-376.4375,
TS115,HIP 20859,A 1 A,✔,32.5462,153.0528,TS112,TS103,TS116,3,-31.16,-120.65625,-384.5,
TS116,PLEIADES SECTOR EB-X C1-2,ABC 3 C,✔,34.7054,43.2882,TS124,TS99,TS115,2,-82.66,-121.15625,-380.125,
TS117,HIP 12967,1 A,✘,-33.6164,-95.5121,X,X,X,1,-152.56,-98.65625,-237.78125,
TS118,ARIES DARK REGION GW-W D1-48,6 A,✘,-75.7543,-148.2469,X,X,X,1,-35.25,-124.3125,-249.5,
TS119,HIP 20989,3 C,✔,27.8121,-69.1259,TS110,TS113,TS123,3,-78.97,-106.40625,-467.6875,
TS120,ARIES DARK REGION JS-T C3-1,1 A,✘,-4.9532,44.6363,X,X,X,1,-166.13,-139.375,-224.875,
TS121,HYADES SECTOR PC-V B2-3,2 A,✘,-7.0555,144.1756,X,X,X,1,13.13,-152,-221.96875,
TS122,ARIES DARK REGION NN-T C3-12,1 D,✘,13.3934,-78.7487,X,X,X,2,-83.38,-179.125,-223.4375,
TS123,TAURUS DARK REGION BQ-Y C12,2 A,✔,57.7906,67.3644,TS110,TS119,TS113,2,-106.59,-120.625,-477.46875,
TS124,HIP 17862,11 E,✘,41.7995,108.2899,X,X,X,1,-81.44,-151.90625,-359.59375,
TS125,HIP 24934,A 3 A,✘,29.6993,131.1824,X,X,X,1,-27.28,-13.84375,-319.90625,
TS126,TAURUS DARK REGION FW-W C1-3,1 A,✔,-45.764,138.682,TS127,TS128,TS113,2,-122.34,-115.78125,-434.53125,
TS127,MEL 22 SECTOR IS-S C4-6,ABC 2 B,✔,-46.9797,111.2209,TS134,TS133,TS131,2,-135.81,-36.375,-408.96875,
TS128,TAURUS DARK REGION MY-R B4-1,1 B,✔,2.954,39.8759,TS130,TS129,TS132,4,-159.88,-117.53125,-427.8125,
TS129,MEL 22 SECTOR FH-U C3-9,A 1 A,✔,39.8038,141.1577,TS128,TS130,TS132,2,-172.06,-104.4375,-446.34375,
TS130,MEL 22 SECTOR HH-V D2-53,1 B,✔,63.2875,124.5319,TS128,TS136,TS132,3,-170.31,-126.46875,-423.0625,
TS131,WREDGUIA VX-L D7-80,5 F,✔,68.5898,-22.5722,TS140,TS147,TS144,4,-95.38,-12.15625,-371.4375,
TS132,TAURUS DARK REGION CL-Y D53,A 4,✔,23.2563,179.6454,TS135,TS128,TS129,4,-150.63,-143.71875,-439.625,
TS133,PLEIADES SECTOR BG-X C1-14,5 D,✔,-51.4581,158.1264,TS142,TS138,TS145,3,-133.78,-71.96875,-373.3125,
TS134,WREDGUIA UB-W C15-0,1 A,✔,-29.1609,148.2092,TS131,TS133,TS127,1,-142.56,-24.75,-380.90625,
TS135,HIP 16795,A 10 F,✔,-25.8016,30.8571,TS137,TS139,TS132,3,-149.44,-167.15625,-432.125,
TS136,MEL 22 SECTOR JX-T C3-9,6 A,✔,58.1601,53.4055,TS137,TS139,TS130,3,-183.81,-152.25,-432.5,
TS137,MEL 22 SECTOR DB-X D1-46,A 8 A,✔,18.6182,18.6466,TS136,TS139,TS135,3,-170.31,-157.65625,-433.71875,
TS138,MEL 22 SECTOR FM-V D2-38,A 3 A,✔,-49.2856,-159.0749,TS151,TS150,TS149,4,-172.81,-80.53125,-366.34375,
TS139,HIP 15889,11 B,✔,-18.8713,84.8981,TS141,TS136,TS143,4,-171.53,-170.28125,-422.59375,
TS140,TAURUS DARK REGION DB-X D1-26,6 E A,✔,-62.2121,-9.8656,TS146,TS131,TS147,2,-69.38,-22.1875,-396.125,
TS141,HIP 16704,5 A,✔,72.5156,-130.2906,TS148,TS143,TS172,2,-118.44,-170.78125,-387.375,
TS142,PLEIADES SECTOR BG-X C1-10,14 A,✔,52.6056,-151.842,TS126,TS133,TS151,2,-127.06,-92.90625,-384.375,
TS143,MEL 22 SECTOR HH-V D2-37,AB 1 A,✔,16.1504,128.5936,TS139,TS135,TS137,2,-155.75,-179.3125,-406.6875,
TS144,COL 285 SECTOR ZZ-Y D22,2 A,✘,-8.4004,31.8891,X,X,X,1,-71.94,-1.9375,-330.5625,
TS145,PLEIADES SECTOR UZ-X B1-2,A 1 C,✘,-36.8524,101.0743,X,X,X,1,-129.13,-99.09375,-402.5625,
TS146,WREGOE RA-W C15-18,A 1 A,✔,-13.3533,-104.0368,HIP 22460,TS147,TS47,2,-17.28,-19.0625,-379.65625,
TS147,HIP 23269,A 1 C,✔,-48.1767,-13.3551,TS140,TS131,TS146,3,-63.69,-33,-399.3125,
TS148,HIP 15746,AB 1 B,✔,0.8018,-144.8607,TS152,TS141,TS153,3,-143.94,-159.15625,-367.15625,
TS149,MEL 22 SECTOR FM-V D2-67,2 A,✔,-74.1521,-82.2954,TS138,TS162,TS150,3,-202.09,-81.78125,-365.5,
TS150,MEL 22 SECTOR NT-Q C5-11,8 A,✔,-74.7376,-152.5656,TS151,TS138,TS169,4,-174.06,-104.96875,-372.625,
TS151,MEL 22 SECTOR ZM-H B11-3,B 3,✔,25.7074,-21.7008,TS150,TS138,TS149,3,-171.06,-92.09375,-382.75,
TS152,PLEIADES SECTOR LN-T C3-11,9 A,✘,-72.1508,135.5127,X,X,X,1,-124.66,-113.96875,-282.625,
TS153,PLEIADES SECTOR EC-U B3-0,4 A,✔,29.0335,153.3848,TS155,TS157,TS150,3,-166.44,-132.78125,-351.46875,
TS154,PLEIADES SECTOR OY-R C4-19,A 3 A,✔,31.5542,141.0143,TS156,TS159,TS158,1,-73.81,-98.625,-262.3125,
TS155,MEL 22 SECTOR OO-Q C5-6,1 A,✔,12.4032,-87.639,TS142,TS161,TS162,3,-190.78,-143.75,-354.46875,
TS156,PLEIADES SECTOR VK-N B7-0,C 1,✘,-23.3712,-160.8387,X,X,X,1,-81.63,-100.21875,-279.375,
TS157,PLEIADES SECTOR KT-Q B5-3,5 A,✔,0.5056,-32.957,TS1,TS153,TS160,2,-169.72,-116.6875,-322.3125,
TS158,COL 285 SECTOR RI-R B5-3,8 B,✘,12.8468,-41.1254,X,X,X,1,-118.69,-72.28125,-239.5625,
TS159,HYADES SECTOR AQ-Y D81,AB 3 C,✔,-53.5029,106.5668,TS165,TS167,TS168,1,-83.44,-82.78125,-244.21875,
TS160,HYADES SECTOR XO-A C15,2 A,✘,38.6733,139.1832,X,X,X,1,-13.13,-67.875,-275.25,
TS161,MEL 22 SECTOR LN-T D3-64,ABC 1 C,✔,-17.8016,-54.3772,TS155,TS163,TS162,3,-214.16,-136.125,-334.0625,
TS162,MEL 22 SECTOR OO-Q C5-10,7 B,✔,4.3611,-124.1767,TS149,TS161,TS155,3,-219.69,-112.28125,-369,
TS163,SYNUEFAI UA-Y C17-4,7 A,✔,-31.2941,-77.4125,TS164,TS161,TS166,2,-205.63,-140.9375,-296.40625,
TS164,SYNUEFAI WV-X C17-12,2 B,✔,5.441,43.5772,TS182,TS157,TS174,3,-212.72,-177.75,-293.125,
TS165,HYADES SECTOR ZU-Y C16,6 B,✘,-29.9773,-152.3166,X,X,X,1,-75.66,-72.625,-236.96875,
TS166,ARIES DARK REGION HR-W D1-54,2 C A,✔,-63.0211,-76.8831,TS175,TS171,TS170,2,-143.78,-229.1875,-260.1875,
TS167,HYADES SECTOR AQ-Y D93,2 B,✘,-46.2852,45.5708,X,X,X,1,-74.59,-70.9375,-253.96875,
TS168,HYADES SECTOR DB-X C1-8,3 A,✘,-39.8101,36.0883,X,X,X,1,-85.75,-85.375,-219.3125,
TS169,HIP 14756,2 E,✘,32.0728,51.8755,X,X,X,2,-159.53,-104.53125,-297.5,
TS170,ARIES DARK REGION MX-U C2-8,A 7 A,✔,25.224,-123.7181,TS176,TS180,TS122,2,-142.00,-251.84375,-259.4375,
TS171,ARIES DARK REGION JC-V C2-6,A 4 A,✔,-66.7152,-150.6992,TS175,TS192,TS173,4,-154.66,-222.375,-241.71875,
TS172,PLEIADES SECTOR JC-V C2-9,1 A,✔,-13.3105,-15.3081,TS148,TS177,TS189,3,-131.41,-150.8125,-343.625,
TS173,ARIES DARK REGION PY-R B4-1,A 4 A,✔,-44.6778,-96.0452,TS175,TS179,TS171,2,-142.88,-198.15625,-257.1875,
TS174,SYNUEFAI YQ-X C17-8,3 A,✔,-35.3379,-127.4803,TS182,TS163,TS181,3,-192.88,-205.6875,-289.375,
TS175,ARIES DARK REGION HR-W D1-53,7 A,✔,-52.0494,7.952,TS173,TS2,TS171,3,-140.25,-213.25,-253.0625,
TS176,HIP 11700,1 A,✔,22.1347,96.5976,TS170,TS202,TS166,1,-114.53,-262.96875,-270.71875,
TS177,PLEIADES SECTOR HH-V C2-6,2 A,✔,50.3267,143.9451,TS178,TS183,TS172,3,-112.31,-127.125,-318.84375,
TS178,PLEIADES SECTOR IH-V C2-3,1 B,✔,34.0093,63.7517,TS177,TS52,TS64,1,-91.28,-114.625,-323.75,
TS179,ARIES DARK REGION HR-W D1-44,B 2 A,✔,-18.4545,-4.6061,TS184,TS186,TS171,2,-135.72,-194.6875,-236.5625,
TS180,ARIES DARK REGION MX-U C2-10,1 C,✔,11.4778,81.5976,TS95,TS187,TS185,1,-105.50,-235.875,-229.25,
TS181,ARIES DARK REGION DB-X C1-2,B 1,✔,33.3162,89.9169,TS194,TS190,TS191,3,-182.78,-172.84375,-293.375,
TS182,SYNUEFAI YQ-X C17-7,1 A,✔,-34.85,52.573,TS164,TS174,TS179,3,-209.16,-190.78125,-295.0625,
TS183,PLEIADES SECTOR LX-U C2-2,AB 4 A,✔,8.6513,78.215,TS188,TS197,TS190,2,-134.53,-189.28125,-317,
TS184,HIP 12916,4 A,✘,47.3301,-142.8403,X,X,X,1,-126.72,-138.625,-236.875,
TS185,HIP 11154,B 9 B,✘,2.1539,65.5808,X,X,X,1,-104.19,-195.8125,-206.25,
TS186,ARIES DARK REGION FW-W D1-76,4 A,✘,-61.213,0.2473,X,X,X,1,-136.75,-130.34375,-207.90625,
TS187,ARIES DARK REGION OI-T C3-8,1 A,✘,66.8546,-149.872,X,X,X,1,-114.53,-210.25,-208.25,
TS188,PLEIADES SECTOR JM-W D1-52,2 A,✔,-32.4659,-65.5308,TS193,TS3,TS195,2,-93.78,-198.84375,-332.5625,
TS189,PLEIADES SECTOR HH-V C2-13,A 1 C,✔,-35.6606,-38.1952,TS172,TS177,TS153,1,-134.88,-139.375,-327.90625,
TS190,MEL 22 SECTOR LN-T D3-60,5 A,✔,41.5369,7.7036,TS181,TS182,TS164,3,-183.53,-179.5,-314.375,
TS191,MEL 22 SECTOR WK-O C6-1,5 C,✔,33.9557,16.7738,TS200,TS199,TS208,3,-191.91,-221.3125,-320.375,
TS192,ARIES DARK REGION IH-V C2-9,6 B,✘,30.7249,-175.8981,X,X,X,1,-105.59,-172.65625,-233.375,
TS193,PLEIADES SECTOR OD-S B4-1,2 A,✔,62.8175,137.8808,TS64,TS116,TS188,1,-93.41,-164,-341.59375,
TS194,ARIES DARK REGION DB-X C1-7,A 9 A,✔,-29.4982,-169.2346,TS181,TS196,TS190,1,-168.13,-173.90625,-281.15625,
TS195,PLEIADES SECTOR OS-U C2-6,A 5 B,✔,34.5205,-87.6166,TS21,TS5,TS198,2,-104.31,-239.25,-336.5625,
TS196,ARIES DARK REGION AQ-Y D14,4 A,✘,-43.779,-72.0815,X,X,X,1,-159.53,-144.25,-268.90625,
TS197,PLEIADES SECTOR JS-T C3-17,1 A,✘,-29.0631,73.5608,X,X,X,1,-122.50,-101.875,-289.75,
TS198,MEL 22 SECTOR CB-O C6-4,3 A,✔,46.0061,-77.1934,TS195,TS5,TS199,2,-122.66,-267.5,-336.84375,
TS199,MEL 22 SECTOR SK-E B12-1,2,✔,40.8408,-104.0889,TS198,TS203,TS201,3,-149.31,-228.09375,-351.25,
TS200,MEL 22 SECTOR JC-V D2-41,A 1 A,✔,44.6542,39.6236,TS206,TS203,TS207,4,-189.84,-214.71875,-350.8125,
TS201,MEL 22 SECTOR JC-V D2-15,ABC 1 A,✔,38.6711,-86.7048,TS203,TS200,TS204,3,-176.09,-203.34375,-368.65625,
TS202,HIP 11457,1 C,✘,-34.7251,-78.8895,X,X,X,1,-118.22,-235.3125,-250.78125,
TS203,MEL 22 SECTOR JC-V D2-14,A 4 A,✔,22.3928,-135.0533,TS183,TS204,TS200,4,-174.16,-200.96875,-361.71875,
