Timestamp,Commander,System,Planet,Aerial Screenshot,Leviathans,Doors,Internal Doors,Device,Link System 1,Link System 2,Link System 3,Notes,Visibility,Blockages,Leviathan Count,,
18/12/2018 22:45:55,JohnTAss,HIP 16795,A 10 F,https://i.imgur.com/YxFw2fV.png,Small Reposing Leviathans,4,Yes,Yes,MEL 22 SECTOR DB-X D1-46,HIP 15889,TAURUS DARK REGION CL-Y D53,,1,,3,,
18/12/2018 23:01:40,JohnTAss,Taurus Dark Region FW-W c1-3,1 A,https://i.imgur.com/gOwnw6p.png,Small Reposing Leviathans,4,Yes,Yes,MEL 22 SECTOR IS-S C4-6,TAURUS DARK REGION MY-R B4-1,TAURUS DARK REGION DL-Y D54,,2,,5,,
18/12/2018 23:19:55,JohnTAss,Taurus Dark Region BQ-Y c12,2 A,https://i.imgur.com/2AgUHjW.png,Large upright leviathans,4,Yes,Yes,HIP 21373,HIP 20989,TAURUS DARK REGION DL-Y D54,,1,,5,,
19/12/2018 16:22:02,JohnTAss,Hind Sector GR-W d1-13,8 H,https://i.imgur.com/kvoZUhP.png,No Leviathans,0,No,No,,,,,1,,2,,
19/12/2018 16:42:34,JohnTAss,HIP 19665,8 B,https://i.imgur.com/SXTlmga.png,Small Reposing Leviathans,4,Yes,Yes,PLEIADES SECTOR DQ-Y C4,HIP 20644,TAURUS DARK REGION QN-T B3-0,,1,,3,,
19/12/2018 16:59:22,JohnTAss,Pleiades Sector DQ-Y c4,6 A,https://i.imgur.com/opLVA3J.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote,2,,5,,
19/12/2018 17:17:00,JohnTAss,Pleiades Sector GG-Y d33,3 A,https://i.imgur.com/OtoDITY.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote,1,,6,,
19/12/2018 17:32:35,JohnTAss,Struve's Lost Sector OI-T c3-3,2 B,https://i.imgur.com/BSCRrzc.png,Large upright leviathans,4,Yes,Yes,PLEIADES SECTOR GG-Y D33,HIP 18117,PLEIADES SECTOR DQ-Y C4,,1,,4,,
19/12/2018 17:52:49,JohnTAss,HIP 16985,A 4 E,https://i.imgur.com/zGOeISj.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR UE-G B11-0,MEL 22 SECTOR BV-P C5-2,MEL 22 SECTOR KC-V D2-28,,1,,6,,
19/12/2018 18:10:25,JohnTAss,Mel 22 Sector MX-U d2-14,AB 1 A,https://i.imgur.com/nBz6AAG.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,2,,3,,
19/12/2018 18:27:54,JohnTAss,Mel 22 Sector TT-R c4-2,3 A,https://i.imgur.com/xUT6rTM.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,2,,6,,
19/12/2018 20:37:14,Rufus Nightjar,Pleiades Sector OD-S b4-1,2 A,https://i.imgur.com/MEGKPdJ.jpg,,3,No,Yes,,,,,2,,4,,
20/12/2018 00:08:40,JohnTAss,Mel 22 Sector KC-V d2-28,1 C,https://i.imgur.com/y8rHti4.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,4,,5,,
20/12/2018 00:24:24,JohnTAss,Mel 22 Sector NX-U d2-31,3 A,https://i.imgur.com/RtodgKq.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,1,,5,,
20/12/2018 00:41:43,JohnTAss,Mel 22 Sector NX-U d2-27,5 A,https://i.imgur.com/29E5sGa.png,Small Reposing Leviathans,4,No,Yes,MEL 22 SECTOR YU-F B11-1,MEL 22 SECTOR NX-U D2-31,MEL 22 SECTOR ZU-P C5-1,,1,,4,,
20/12/2018 00:53:23,Johnson sky,HIP 22711,7 A,https://inara.cz/cmdr-gallery/55415/,Large upright leviathans,4,yes,Yes,,,,,1,,3,,
20/12/2018 00:57:32,JohnTAss,Mel 22 Sector ZU-P c5-1,4 A,https://i.imgur.com/pGRERJA.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,1,,4,,
20/12/2018 01:14:27,JohnTAss,HIP 14909,2 A,https://i.imgur.com/CtbmV9K.png,Small Reposing Leviathans,3,No,Yes,,,,EE overwrote,4,,4,,
20/12/2018 01:30:33,TK-421 Bowdog,HIP 17862,11 E,,Small Reposing Leviathans,4,Unsure,No,,,,,1,,1,,
20/12/2018 03:49:52,JohnTAss,Mel 22 Sector CB-O c6-4,3 A,https://i.imgur.com/5Yy0kJc.png,Large upright leviathans,3,No,Yes,PLEIADES SECTOR OS-U C2-6,HIP 14909,MEL 22 SECTOR SK-E B12-1,,2,,3,,
20/12/2018 04:06:07,JohnTAss,Pleiades Sector OS-U c2-6,A 5 B,https://i.imgur.com/wFBPmwa.png,Large upright leviathans,4,Yes,Yes,PLEIADES SECTOR KM-W D1-40,HIP 14909,MEL 22 SECTOR CB-O C6-4,,1,,4,,
20/12/2018 04:21:08,JohnTAss,Pleiades Sector OS-U c2-7,4 A,https://i.imgur.com/h5yWbhv.png,No Leviathans,0,No,No,,,,,1,,0,,
20/12/2018 04:45:02,JohnTAss,Pleiades Sector JM-W d1-52,2 A,https://i.imgur.com/7PkRSYQ.png,Small Reposing Leviathans,3,No,Yes,PLEIADES SECTOR OD-S B4-1,PLEIADES SECTOR OS-U C2-7,PLEIADES SECTOR OS-U C2-6,,1,,4,,
20/12/2018 04:53:02,,HIP 17862,11 E,,Large upright leviathans,,,No,,,,,0,,1,,
20/12/2018 11:38:13,,HIP 17694,B 7 F,,Small Reposing Leviathans,4,,,,,,Multiple scavengers were present,0,,2,,
21/12/2018 09:02:23,JohnTAss,Pleiades Sector LX-U c2-2,AB 4 A,https://i.imgur.com/hr6SjcR.png,Small Reposing Leviathans,3,No,Yes,,,,EE overwrote,2,,4,,
21/12/2018 09:23:09,JohnTAss,Pleiades Sector JC-V c2-9,1 A,https://i.imgur.com/HrdVgCN.png,Small Reposing Leviathans,3,No,Yes,HIP 15746,PLEIADES SECTOR HH-V C2-6,PLEIADES SECTOR HH-V C2-13,Got Medusa visitor on exit,4,,4,,
21/12/2018 09:41:03,JohnTAss,Pleiades Sector HH-V c2-13,A 1 C,https://i.imgur.com/8UZXFjE.png,Small Reposing Leviathans,3,No,Yes,,,,EE overwrote,4,,4,,
21/12/2018 10:38:32,JohnTAss,Pleiades Sector KT-Q b5-3,5 A,https://i.imgur.com/840ldeX.png,Small Reposing Leviathans,4,Yes,Yes,HIP 19026,PLEIADES SECTOR EC-U B3-0,HYADES SECTOR XO-A C15,,1,,5,,
21/12/2018 10:57:14,JohnTAss,Pleiades Sector EC-U b3-0,4 A,https://i.imgur.com/ZAsdwUY.png,Small Reposing Leviathans,3,Yes,Yes,MEL 22 SECTOR OO-Q C5-6,PLEIADES SECTOR KT-Q B5-3,HYADES SECTOR XO-A C15,"There is a door in the outer circle, not into the center chamber",1,,4,,
21/12/2018 11:23:44,JohnTAss,HIP 15746,AB 1 B,https://i.imgur.com/Iov3KLr.png,Large upright leviathans,4,Yes,Yes,PLEIADES SECTOR LN-T C3-11,HIP 16704,PLEIADES SECTOR EC-U B3-0,,1,,6,,
21/12/2018 11:40:27,JohnTAss,Mel 22 Sector SK-E b12-1,2,https://i.imgur.com/r8uCUIz.jpg,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR CB-O C6-4,MEL 22 SECTOR JC-V D2-14,MEL 22 SECTOR JC-V D2-15,,3,,3,,
21/12/2018 11:57:21,JohnTAss,Mel 22 Sector JC-V d2-41,A 1 A,https://i.imgur.com/IcRbDPQ.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,,,4,,
21/12/2018 12:13:17,JohnTAss,Mel 22 Sector JC-V d2-19,4 B,https://i.imgur.com/DRKw3Ig.jpg,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,3,,3,,
21/12/2018 12:27:08,JohnTAss,Mel 22 Sector AX-A b14-1,1 B,https://i.imgur.com/wZBswPp.png,No Leviathans,0,No,No,,,,,,,0,,
21/12/2018 13:51:27,JohnTAss,Aries Dark Region HR-W c1-1,8 C,https://i.imgur.com/MHlnw7v.png,Small Reposing Leviathans,3,No,Yes,,,,EE overwrote,,,4,,
21/12/2018 14:07:59,JohnTAss,Mel 22 Sector WK-O c6-1,5 C,https://i.imgur.com/Q0vGsqm.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,,,5,,
21/12/2018 14:25:11,JohntAss,Synuefai YQ-X c17-8,3 A,https://i.imgur.com/kkAwiTJ.png,Large upright leviathans,4,Yes,Yes,SYNUEFAI YQ-X C17-7,SYNUEFAI UA-Y C17-4,ARIES DARK REGION DB-X C1-2,,,,4,,
21/12/2018 15:09:08,JohnTAss,Synuefai YQ-X c17-7,1 A,https://i.imgur.com/nEly3z9.png,Large upright leviathans,4,Yes,Yes,SYNUEFAI WV-X C17-12,SYNUEFAI YQ-X C17-8,ARIES DARK REGION HR-W D1-44,,,,3,,
21/12/2018 22:16:40,JohnTAss,Synuefai WV-X c17-12,2 B,https://i.imgur.com/lk1bmVA.png,Small Reposing Leviathans,3,No,Yes,SYNUEFAI YQ-X C17-7,PLEIADES SECTOR KT-Q B5-3,SYNUEFAI YQ-X C17-8,,,,4,,
21/12/2018 22:39:36,JohnTAss,Mel 22 Sector LN-T d3-60,5 A,https://i.imgur.com/RkREgrj.png,Small Reposing Leviathans,3,No,Yes,ARIES DARK REGION DB-X C1-2,SYNUEFAI YQ-X C17-7,SYNUEFAI WV-X C17-12,,,,4,,
21/12/2018 23:03:53,JohnTAss,Aries Dark Region DB-X c1-2,B 1,https://i.imgur.com/HvP9M3A.png,Small Reposing Leviathans,3,No,Yes,ARIES DARK REGION DB-X C1-7,MEL 22 SECTOR LN-T D3-60,MEL 22 SECTOR WK-O C6-1,Basi visit on site exit,,,4,,
21/12/2018 23:21:05,JohnTAss,Aries Dark Region DB-X c1-7,A 9 A,https://i.imgur.com/ngfUpLE.png,Small Reposing Leviathans,3,No,Yes,ARIES DARK REGION DB-X C1-2,ARIES DARK REGION AQ-Y D14,MEL 22 SECTOR LN-T D3-60,"1 door in outer ring, no doors to inner chamber",,,4,,
21/12/2018 23:30:01,LCU No Fool Like One,HIP 17862,11 E,https://i.imgur.com/DAigxzy.jpg,Small Reposing Leviathans,2,No,No,,,,,,,1,,
21/12/2018 23:45:33,JohnTAss,Synuefai UA-Y c17-4,7 A,https://i.imgur.com/ox5Q0fh.png,Small Reposing Leviathans,4,Yes,Yes,SYNUEFAI WV-X C17-12,MEL 22 SECTOR LN-T D3-64,ARIES DARK REGION HR-W D1-54,,,,3,,
22/12/2018 00:15:20,JohnTAss,Mel 22 Sector LN-T d3-64,ABC 1 C,https://i.imgur.com/u7ttqmO.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR OO-Q C5-6,SYNUEFAI UA-Y C17-4,MEL 22 SECTOR OO-Q C5-10,,,,5,,
22/12/2018 01:38:02,LCU No Fool Like One,HIP 17694,B 7 F,https://i.imgur.com/9wlvjlj.png,Small Reposing Leviathans,2,,No,,,,,,,2,,
22/12/2018 08:18:07,JohnTAss,Mel 22 Sector OO-Q c5-6,1 A,https://i.imgur.com/72HMpoR.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,,,5,,
22/12/2018 08:36:09,JohnTAss,Mel 22 Sector OO-Q c5-10,7 B,https://i.imgur.com/RMmCBHQ.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR FM-V D2-67,MEL 22 SECTOR LN-T D3-64,MEL 22 SECTOR OO-Q C5-6,,,,5,,
22/12/2018 08:54:44,JohnTAss,Mel 22 Sector FM-V d2-67,2 A,https://i.imgur.com/62E5dny.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,,,4,,
22/12/2018 09:25:38,JohnTAss,HIP 14969,CD 2 A,https://i.imgur.com/Lqvs8iq.png,Small Reposing Leviathans,3,No,Yes,SYNUEFAI RK-Y C17-3,COL 285 SECTOR BQ-X C1-10,SYNUEFAI UZ-M D8-63,One door on inside ring,,,4,,
22/12/2018 09:43:30,JohnTAss,Mel 22 Sector NT-Q c5-11,8 A,https://i.imgur.com/Xlr92I2.png,Small Reposing Leviathans,4,Yes,Yes,MEL 22 SECTOR ZM-H B11-3,MEL 22 SECTOR FM-V D2-38,HIP 14756,,,,4,,
22/12/2018 17:20:01,JohnTAss,Mel 22 Sector ZM-H b11-3,B 3,https://i.imgur.com/VgoT6Jc.png,Large upright leviathans,4,Yes,Yes,MEL 22 SECTOR NT-Q C5-11,MEL 22 SECTOR FM-V D2-38,MEL 22 SECTOR FM-V D2-67,,,,5,,
22/12/2018 17:38:10,JohnTAss,Mel 22 Sector FM-V d2-38,A 3 A,https://i.imgur.com/zng5Ej5.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote; Medusa visit on exit,,,3,,
22/12/2018 18:00:16,JohnTAss,Pleiades Sector BG-X c1-14,5 D,https://i.imgur.com/AL6lGGO.png,Small Reposing Leviathans,3,No,Yes,PLEIADES SECTOR BG-X C1-10,MEL 22 SECTOR FM-V D2-38,PLEIADES SECTOR UZ-X B1-2,,,,4,,
22/12/2018 18:17:33,JohnTAss,Pleiades Sector UZ-X b1-2,A 1 C,https://i.imgur.com/8Oo3VXy.png,No Leviathans,0,No,No,,,,,,,0,,
23/12/2018 08:57:54,JohnTAss,Pleiades Sector BG-X c1-10,14 A,https://i.imgur.com/8nsCX2K.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote,,,3,,
23/12/2018 09:23:51,JohnTAss,Pleiades Sector IX-S b4-1,10 A,https://i.imgur.com/nnhzUH0.png,Large upright leviathans,3,No,Yes,HIP 23022,PLEIADES SECTOR DG-X C1-14,HIP 22382,,,,4,,
23/12/2018 09:39:32,JohnTAss,Pleiades Sector DG-X c1-11,A 3A,https://i.imgur.com/SKjAqzV.png,Small Reposing Leviathans,0,No,No,,,,,,,1,,
23/12/2018 09:55:55,JohnTAss,Pleiades Sector DG-X c1-14,AB 1 A,https://i.imgur.com/tlVzoJ4.png,Small Reposing Leviathans,3,No,Yes,HIP 22334,HIP 24934,HIP 21348,,,,4,,
23/12/2018 10:13:57,JohnTAss,HIP 24007,1 B,https://i.imgur.com/p017vVg.png,Small Reposing Leviathans,3,No,Yes,HIP 22382,SYNUEFE LD-A C17-3,SYNUEFE LD-A C17-1,,,,4,,
23/12/2018 10:50:43,JohnTAss,Synuefe LD-A c17-1,B 1 C,https://i.imgur.com/7t3MpLb.png,Small Reposing Leviathans,3,No,Yes,SYNUEFE LD-A C17-3,COL 285 SECTOR IL-X C1-4,HIP 25274,,,,4,,
23/12/2018 11:10:52,JohnTAss,Synuefe LD-A c17-3,AB 2 F,https://i.imgur.com/9fux0d6.png,Small Reposing Leviathans,3,No,Yes,PLEIADES SECTOR IM-V C2-16,HIP 22118,SYNUEFE LD-A C17-1,,,,4,,
23/12/2018 11:28:02,JohnTAss,HIP 22382,5 E,https://i.imgur.com/TNvsB6K.png,Small Reposing Leviathans,3,No,Yes,COL 285 SECTOR CV-Y D71,COL 285 SECTOR CV-Y D57,HIP 23022,,,,4,,
23/12/2018 11:49:41,JohnTAss,HIP 23022,B 2 A,https://i.imgur.com/pCKHPQF.png,Small Reposing Leviathans,3,No,Yes,SYNUEFE LD-A C17-3,SYNUEFE LD-A C17-1,COL 285 SECTOR YO-Z C19,,,,4,,
23/12/2018 12:03:22,JohnTAss,Col 285 Sector CV-Y d71,5 D,https://i.imgur.com/3N79SkY.png,Small Reposing Leviathans,0,No,No,,,,,,,2,,
27/12/2018 12:21:30,Leadr0fthepack,HIP 17862,11 E,https://screenshotscontent-d5001.xboxlive.com/xuid-2533274938631819-private/d14f04d9-b7ff-46f7-bda4-3ad6409ae96a.PNG?sv=2015-12-11&sr=b&si=DefaultAccess&sig=nPPUeur5t4q9sVbQBAb24j4XRLFLINfBdmgj%2FS5TASQ%3D,Small Reposing Leviathans,1,0,No,N/A,N/A,N/A,"I met a traveller from an antique land,
Who said—“Two vast and trunkless legs of stone
Stand in the desert. . . . Near them, on the sand,
Half sunk a shattered visage lies, whose frown,
And wrinkled lip, and sneer of cold command,
Tell that its sculptor well those passions read
Which yet survive, stamped on these lifeless things,
The hand that mocked them, and the heart that fed;
And on the pedestal, these words appear:
My name is Ozymandias, King of Kings;
Look on my Works, ye Mighty, and despair!
Nothing beside remains. Round the decay
Of that colossal Wreck, boundless and bare
The lone and level sands stretch far away.",,,1,,
27/12/2018 12:52:37,Leadr0fthepack,HIP 17694,B 7 F,,Large upright leviathans,4,N/A,No,N/A,N/A,N/A,this planet is completely devoid of any interesting geology and biology apart from the thargoid site,,,2,,
29/12/2018 00:36:10,,Synuefe HZ-M d8-69,B 7 f,https://i.imgur.com/UDl7LHA.png,Large upright leviathans,3,,Yes,,,Only 2 Links,One door and corridor blocked,,,4,,
30/12/2018 00:58:23,JohnTAss,Col 285 Sector ZZ-Y d22,2 A,https://i.imgur.com/8bC2isn.png,Small Reposing Leviathans,0,No,No,,,,,,,2,,
30/12/2018 01:16:44,JohnTAss,Col 285 Sector YO-Z c19,B 2 A,https://i.imgur.com/3ZK4S18.png,Small Reposing Leviathans,0,No,No,,,,,,,2,,
30/12/2018 01:35:34,JohnTAss,HIP 24934,A 3 A,https://i.imgur.com/8lFpSZg.png,Small Reposing Leviathans,,No,No,,,,,,,1,,
30/12/2018 01:59:07,JohnTAss,Wregoe RA-W c15-18,A 1 A,https://i.imgur.com/05R8b2d.png,Small Reposing Leviathans,3,No,Yes,,,,EE overwrote messages,,,4,,
30/12/2018 02:19:04,JohnTAss,HIP 23269,A 1 C,https://i.imgur.com/kuQfxsh.png,Small Reposing Leviathans,3,No,Yes,TAURUS DARK REGION DB-X D1-26,WREDGUIA VX-L D7-80,WREGOE RA-W C15-18,,,,4,,
30/12/2018 02:57:42,JohnTAss,Taurus Dark Region DB-X d1-26,6 E A,https://i.imgur.com/mFy538C.png,Small Reposing Leviathans,3,No,Yes,WREGOE RA-W C15-18,WREDGUIA VX-L D7-80,HIP 23269,,,,4,,
30/12/2018 03:17:19,JohnTAss,Wredguia VX-L d7-80,5 F,https://i.imgur.com/bo8Lnkw.png,Small Reposing Leviathans,3,No,Yes,TAURUS DARK REGION DB-X D1-26,HIP 23269,COL 285 SECTOR ZZ-Y D22,,,,4,,
30/12/2018 03:32:35,JohnTAss,Wredguia UB-W c15-0,1 A,https://i.imgur.com/O4adAB6.png,Small Reposing Leviathans,4,Yes,Yes,WREDGUIA VX-L D7-80,PLEIADES SECTOR BG-X C1-14,MEL 22 SECTOR IS-S C4-6,,,,6,,
30/12/2018 03:52:14,JohnTAss,HIP 19026,B 1 C,https://i.imgur.com/Vg6TWMz.png,No Leviathans,0,No,No,,,,,,,0,,
30/12/2018 04:10:09,JohnTAss,Mel 22 Sector IS-S c4-6,ABC 2 B,https://i.imgur.com/EU8zGZc.png,Small Reposing Leviathans,4,Yes,Yes,,,,EE overwrote messages,,,3,,
30/12/2018 11:25:55,JohnTAss,HIP 22375,3 A,https://i.imgur.com/rTGEOUv.jpg,Large upright leviathans,4,Yes,Yes,,,,EE overwrote messages,,,4,,
30/12/2018 11:42:58,JohnTAss,HIP 21373,2 F,https://i.imgur.com/QtNfh6w.jpg,Large upright leviathans,3,No,Yes,,,,EE overwrote messages,,,4,,
30/12/2018 12:01:20,JohnTAss,HIP 20989,3 C,https://i.imgur.com/wYpGSP4.png,Large upright leviathans,3,No,Yes,HIP 21373,TAURUS DARK REGION DL-Y D54,TAURUS DARK REGION BQ-Y C12,,,,4,,
30/12/2018 12:23:03,JohnTAss,Taurus Dark Region DL-Y d54,ABC 1 C,https://i.imgur.com/XOzgPu5.png,Small Reposing Leviathans,3,No,Yes,HIP 20989,TAURUS DARK REGION BQ-Y C12,HIP 21373,,,,4,,
30/12/2018 12:42:12,JohnTAss,HIP 20644,A 2 D,https://i.imgur.com/ihvcCI4.png,Large upright leviathans,4,Yes,Yes,TAURUS DARK REGION BV-Y C11,HIND SECTOR GR-W D1-13,TAURUS DARK REGION QN-T B3-0,,,,5,,
30/12/2018 13:11:05,JohnTAss,Taurus Dark Region QN-T b3-0,1 B,https://i.imgur.com/V398Yjg.png,Large upright leviathans,4,Yes,Yes,HIP 20644,HIP 19665,TAURUS DARK REGION BV-Y C11,,,,4,,
30/12/2018 13:28:09,JohnTAss,Taurus Dark Region BV-Y c11,8 A,https://i.imgur.com/hWcvyZr.png,Large upright leviathans,4,Yes,Yes,HIP 20644,TAURUS DARK REGION QN-T B3-0,TAURUS DARK REGION CQ-Y D31,,,,6,,
30/12/2018 13:46:43,JohnTAss,Taurus Dark Region CQ-Y d31,3 C,https://i.imgur.com/Va7rrOm.png,Large upright leviathans,3,No,Yes,PLEIADES SECTOR ZZ-Y C14,HIP 22375,TAURUS DARK REGION BV-Y C11,,,,4,,
30/12/2018 14:02:30,JohnTAss,Pleiades Sector AV-Y c7,1 B,https://i.imgur.com/Vm9CXYf.png,Large upright leviathans,4,Yes,Yes,,,,EE overwrote messages,,,4,,
30/12/2018 14:19:55,JohnTAss,Taurus Dark Region QO-Q b5-0,B 2 A,https://i.imgur.com/6aYAjMx.png,Large upright leviathans,4,Yes,Yes,PLEIADES SECTOR AV-Y C7,HIP 22375,TAURUS DARK REGION FW-W C1-3,,,,3,,
31/12/2018 01:17:39,Revina Hardon,HIP 17694,B 7 F,,Large upright leviathans,0,None That I saw,No,,,,,,,2,,
04/01/2019 00:36:38,LCU No Fool Like One,Pleiades Sector OD-S b4-1,2 A,https://i.imgur.com/Y5Dcmmm.jpg,Large upright leviathans,3,No,Yes,Magec,,,Only two messages. EE Overwrote,,,4,,
06/01/2019 00:17:11,LCU No Fool Like One,HIP 16704,5 A,https://i.imgur.com/lOuNLNI.png,Large upright leviathans,4,One door was blocked,Yes,,,,,,,4,,
10/01/2019 13:17:15,Joseph Wood,HIP 17862,11 E,,Large upright leviathans,,,No,,,,,,,1,,
10/01/2019 14:09:41,Joseph Wood,HIP 17694,B 7 F,,Large upright leviathans,4,,,,,,,,,2,,
12/01/2019 05:50:24,ByteSturm,HIP 17862,11 E,https://i.imgur.com/hP0M2ny.png,Small Reposing Leviathans,4,"No, everything is caved in.",No,,,,"It's hard to see,
Everything's black,
I'm starting to worry,
It's time to head back.",,,1,,
12/01/2019 06:23:13,ByteSturm,HIP 17694,B 7 F,https://i.imgur.com/AfdLaYq.png,Small Reposing Leviathans,4,No.,No,,,,"Another site
Without a bite.
It makes me frown,
But at least that's another one down.",,,2,,
12/01/2019 06:49:45,DrunkEng1n33r,HIP 17694,B 7 F,https://i.imgur.com/FN9dnXb.png,Small Reposing Leviathans,2,No.,No,,,,"Another site
Without a bite.
It gives me a frown,
But at least that's one more stop down.",,,2,,
12/01/2019 06:51:01,DrunkEng1n33r,HIP 17862,11 E,https://i.imgur.com/3Gpwkq0.png,Small Reposing Leviathans,2,No.,No,,,,"It's hard to see,
Everything's black.
I'm starting to worry,
It's time to head back.",,,1,,
13/01/2019 23:24:57,bluecrash,delphi,5a,,mix,2,nothing that opened or closed just entryways,Yes,probe,link,sensor,"there were stars below the map  much like the PSR stars that are out of reach of our galaxy camera, but you can see them briefly if you type psr in search in galaxy mode.  So i was below a pancake of start (much like how SAG A seems flat if you zoom away from it.)",,,4,,
22/01/2019 18:17:53,DrunkEng1n33r,HIP 17862,11 E,https://i.imgur.com/YTXvcvp.jpg,Small Reposing Leviathans,2,No.,No,,,,"Last time I messed it up,
So I had to revisit this site.
Now the information's all correct,
Everything's alright.",,,1,,
