System,USSType,x,y,z,Check
Aries Dark Region DL-O b6-2,$USS_Type_Salvage;,-5.65625,-188.28125,-220.59375,pass
Aries Dark Region DL-Y d42,$USS_Type_NonHuman;,-141.6875,-244.3125,-270.84375,pass
Aries Dark Region FR-V c2-5,$USS_Type_NonHuman;,-67.063,-102.875,-227.844,pass
Aries Dark Region FW-W d1-27,$USS_Type_NonHuman;,-142.906,-154.5,-254.5,pass
Aries Dark Region FW-W d1-73,$USS_Type_NonHuman;,-141,-171.6875,-226.8125,pass
Aries Dark Region FW-W d1-73,$USS_Type_ValuableSalvage;,-141,-171.6875,-226.8125,pass
Aries Dark Region GL-Y c3,$USS_Type_NonHuman;,-60.656,-258,-311.875,pass
Aries Dark Region GM-V b2-2,$USS_Type_NonHuman;,-154.219,-195.656,-288.438,pass
Aries Dark Region GR-V c2-8,$USS_Type_NonHuman;,-62.4375,-91.71875,-258.21875,pass
Aries Dark Region GW-W b1-0,$USS_Type_NonHuman;,-147.875,-228.25,-309,pass
Aries Dark Region GW-W c1-0,$USS_Type_NonHuman;,-142.406,-223.25,-300.313,pass
ARIES DARK REGION GW-W D1-37,$USS_Type_NonHuman;,-57.28125,-170.71875,-242.28125,pass
ARIES DARK REGION GW-W D1-42,$USS_Type_NonHuman;,-54.28125,-164.78125,-245.65625,pass
Aries Dark Region GW-W d1-42,$USS_Type_NonHuman;,-54.28125,-164.78125,-245.65625,pass
Aries Dark Region GW-W d1-48,$USS_Type_DistressSignal;,-35.25,-124.3125,-249.5,pass
Aries Dark Region GW-W d1-48,$USS_Type_NonHuman;,-35.25,-124.3125,-249.5,pass
Aries Dark Region GW-W d1-48,$USS_Type_NonHuman;,-35.25,-124.313,-249.5,pass
Aries Dark Region GW-W d1-48,$USS_Type_Salvage;,-35.25,-124.3125,-249.5,pass
Aries Dark Region GW-W d1-52,$USS_Type_NonHuman;,-55.969,-112.344,-208.375,pass
Aries Dark Region GW-W d1-62,$USS_Type_NonHuman;,-48.5625,-172.6875,-250.375,pass
Aries Dark Region GW-W d1-66,$USS_Type_ValuableSalvage;,-23.875,-168.6875,-201.53125,pass
ARIES DARK REGION GW-W D1-82,$USS_Type_NonHuman;,-35.25,-120.15625,-234.3125,pass
Aries Dark Region GW-W d1-82,$USS_Type_NonHuman;,-35.25,-120.156,-234.313,pass
Aries Dark Region GW-W d1-82,$USS_Type_NonHuman;,-35.25,-120.15625,-234.3125,pass
ARIES DARK REGION GW-W D1-86,$USS_Type_NonHuman;,-21.25,-129.75,-227.875,pass
Aries Dark Region GW-W d1-86,$USS_Type_NonHuman;,-21.25,-129.75,-227.875,pass
ARIES DARK REGION HB-X C1-6,$USS_Type_NonHuman;,-4.09375,-150.28125,-272.53125,pass
ARIES DARK REGION HR-W D1-47,$USS_Type_NonHuman;,-83.46875,-204.59375,-257.3125,pass
Aries Dark Region HR-W d1-61,$USS_Type_NonHuman;,-65.78125,-212.15625,-259,pass
Aries Dark Region HS-S b4-1,$USS_Type_NonHuman;,-144,-123.281,-254.313,pass
Aries Dark Region IH-V c2-9,$USS_Type_NonHuman;,-105.59375,-172.65625,-233.375,pass
Aries Dark Region IM-V c2-15,$USS_Type_NonHuman;,-33.15625,-127.3125,-251.4375,pass
Aries Dark Region IM-V c2-5,$USS_Type_NonHuman;,-27.03125,-115.21875,-262.625,pass
Aries Dark Region IM-V c2-6,$USS_Type_NonHuman;,-59.875,-111.031,-248.813,pass
Aries Dark Region IM-V c2-7,$USS_Type_DistressSignal;,-49.59375,-116.78125,-237.9375,pass
Aries Dark Region IM-V c2-7,$USS_Type_NonHuman;,-49.59375,-116.78125,-237.9375,pass
Aries Dark Region IM-V c2-7,$USS_Type_NonHuman;,-49.594,-116.781,-237.938,pass
Aries Dark Region IM-V c2-8,$USS_Type_NonHuman;,-45.34375,-111.40625,-236.15625,pass
ARIES DARK REGION IX-S B4-1,$USS_Type_NonHuman;,-79.96875,-100.9375,-254.875,pass
ARIES DARK REGION IX-S B4-3,$USS_Type_NonHuman;,-83.0625,-95.125,-256.78125,pass
Aries Dark Region IX-S b4-3,$USS_Type_NonHuman;,-83.0625,-95.125,-256.78125,pass
Aries Dark Region JH-V c2-14,$USS_Type_NonHuman;,-65.28125,-177.125,-227.6875,pass
Aries Dark Region JM-V c2-12,$USS_Type_NonHuman;,-24.4375,-120.1875,-260.96875,pass
Aries Dark Region JM-V c2-14,$USS_Type_NonHuman;,-22.84375,-120.59375,-257,pass
Aries Dark Region JN-S b4-2,$USS_Type_NonHuman;,-142.75,-130.438,-264.063,pass
Aries Dark Region JS-T c3-11,$USS_Type_Convoy;,-156.75,-131.84375,-219.34375,pass
Aries Dark Region JS-T c3-11,$USS_Type_NonHuman;,-156.75,-131.84375,-219.34375,pass
Aries Dark Region JS-T c3-11,$USS_Type_Salvage;,-156.75,-131.84375,-219.34375,pass
Aries Dark Region JW-W c1-4,$USS_Type_NonHuman;,-6.21875,-195.53125,-269.71875,pass
Aries Dark Region KC-V b2-1,$USS_Type_NonHuman;,-146.094,-235.406,-298.531,pass
Aries Dark Region KM-W c1-7,$USS_Type_NonHuman;,-134.34375,-266.03125,-292.46875,pass
Aries Dark Region KR-W c1-2,$USS_Type_NonHuman;,-34.84375,-261.09375,-273.1875,pass
Aries Dark Region KS-T c3-3,$USS_Type_Salvage;,-115.813,-119.031,-215.625,pass
Aries Dark Region KS-T c3-3,$USS_Type_ValuableSalvage;,-115.813,-119.031,-215.625,pass
Aries Dark Region KX-K b8-1,$USS_Type_ValuableSalvage;,-36.125,-197.03125,-178.40625,pass
Aries Dark Region LD-R b5-1,$USS_Type_DistressSignal;,-92.906,-98.563,-232.906,pass
ARIES DARK REGION LS-S B4-3,$USS_Type_NonHuman;,-52.96875,-118.59375,-246.625,pass
Aries Dark Region LS-S b4-4,$USS_Type_NonHuman;,-56.5625,-112.25,-251.0625,pass
ARIES DARK REGION LS-T C3-17,$USS_Type_NonHuman;,-98.96875,-128.84375,-199.5625,pass
ARIES DARK REGION MS-S B4-1,$USS_Type_NonHuman;,-31.96875,-109.90625,-256.09375,pass
Aries Dark Region MS-S b4-2,$USS_Type_NonHuman;,-32.71875,-121.96875,-260.0625,pass
Aries Dark Region MS-T c3-14,$USS_Type_NonHuman;,-57.625,-130.906,-212.625,pass
Aries Dark Region MS-T c3-15,$USS_Type_ValuableSalvage;,-57.21875,-134.28125,-215.34375,pass
ARIES DARK REGION MS-T C3-2,$USS_Type_NonHuman;,-29.3125,-138.25,-221.90625,pass
Aries Dark Region MS-T c3-2,$USS_Type_NonHuman;,-29.3125,-138.25,-221.90625,pass
Aries Dark Region MS-T c3-2,$USS_Type_Salvage;,-29.3125,-138.25,-221.90625,pass
Aries Dark Region MS-T c3-8,$USS_Type_NonHuman;,-40.281,-144.625,-204.969,pass
Aries Dark Region MS-T c3-9,$USS_Type_NonHuman;,-60.75,-114.9375,-222.84375,pass
Aries Dark Region MX-U c2-10,$USS_Type_NonHuman;,-105.5,-235.875,-229.25,pass
Aries Dark Region MX-U c2-6,$USS_Type_NonHuman;,-126.875,-225.09375,-237.40625,pass
Aries Dark Region MY-Q b5-4,$USS_Type_NonHuman;,-119.875,-119.75,-229.656,pass
Aries Dark Region MY-Q b5-4,$USS_Type_NonHuman;,-119.875,-119.75,-229.65625,pass
Aries Dark Region MY-R b4-0,$USS_Type_NonHuman;,-189.5625,-200.96875,-257.4375,pass
Aries Dark Region MY-R b4-1,$USS_Type_NonHuman;,-188.09375,-194.53125,-255.78125,pass
Aries Dark Region NN-T c3-12,$USS_Type_NonHuman;,-83.375,-179.125,-223.438,pass
Aries Dark Region NY-Q b5-0,$USS_Type_NonHuman;,-104.563,-119.219,-241.031,pass
Aries Dark Region NY-Q b5-2,$USS_Type_NonHuman;,-99,-110.656,-237.406,pass
Aries Dark Region NY-Q b5-2,$USS_Type_NonHuman;,-99,-110.65625,-237.40625,pass
Aries Dark Region NY-Q b5-4,$USS_Type_NonHuman;,-85.75,-120.563,-240.531,pass
Aries Dark Region OI-T c3-7,$USS_Type_NonHuman;,-110.78125,-205.53125,-210.5,pass
ARIES DARK REGION OJ-P B6-3,$USS_Type_NonHuman;,-111.40625,-105,-208.0625,pass
Aries Dark Region OJ-P b6-3,$USS_Type_NonHuman;,-111.406,-105,-208.063,pass
Aries Dark Region OJ-P b6-3,$USS_Type_Salvage;,-111.406,-105,-208.063,pass
Aries Dark Region ON-T c3-6,$USS_Type_Salvage;,-61.09375,-175,-190.5,pass
Aries Dark Region OS-U c2-4,$USS_Type_Convoy;,-115.625,-265.90625,-250.9375,pass
Aries Dark Region OX-U b2-0,$USS_Type_NonHuman;,-124,-262.59375,-302.65625,pass
Aries Dark Region OY-Q b5-2,$USS_Type_NonHuman;,-72.375,-113.21875,-242.25,pass
Aries Dark Region PC-V b2-0,$USS_Type_NonHuman;,-60.594,-244.188,-299.344,pass
Aries Dark Region PE-P b6-0,$USS_Type_Salvage;,-142.03125,-123.71875,-222.21875,pass
Aries Dark Region PN-S b4-1,$USS_Type_NonHuman;,-24.688,-143.625,-257.031,pass
Aries Dark Region PT-Q b5-0,$USS_Type_NonHuman;,-88.875,-136.063,-233.156,pass
Aries Dark Region PY-Q b5-1,$USS_Type_NonHuman;,-56.781,-115.5,-231.5,pass
Aries Dark Region PY-Q b5-1,$USS_Type_NonHuman;,-56.78125,-115.5,-231.5,pass
Aries Dark Region PY-Q b5-2,$USS_Type_NonHuman;,-58.53125,-114.875,-237.15625,pass
Aries Dark Region QE-P b6-4,$USS_Type_NonHuman;,-120.75,-117.9375,-220.125,pass
Aries Dark Region QE-P b6-4,$USS_Type_NonHuman;,-120.75,-117.938,-220.125,pass
Aries Dark Region QJ-P b6-0,$USS_Type_NonHuman;,-82.15625,-100.75,-219.96875,pass
Aries Dark Region QJ-P b6-2,$USS_Type_Salvage;,-75.531,-99.219,-214.969,pass
Aries Dark Region QY-Q b5-1,$USS_Type_NonHuman;,-33.03125,-113.59375,-240.4375,pass
Aries Dark Region QY-R b4-2,$USS_Type_NonHuman;,-110.406,-199.063,-255.531,pass
Aries Dark Region QZ-O b6-0,$USS_Type_NonHuman;,-149.844,-137.438,-213.875,pass
Aries Dark Region RE-P b6-3,$USS_Type_NonHuman;,-99.844,-117.313,-220.719,pass
Aries Dark Region RJ-P b6-3,$USS_Type_NonHuman;,-59.375,-100.938,-220.594,pass
Aries Dark Region RS-U b2-1,$USS_Type_NonHuman;,-91.96875,-267.59375,-285.90625,pass
Aries Dark Region RY-Q b5-0,$USS_Type_NonHuman;,-20.0625,-121.46875,-244.71875,pass
Aries Dark Region RY-Q b5-0,$USS_Type_Salvage;,-20.0625,-121.46875,-244.71875,pass
Aries Dark Region SD-S b4-0,$USS_Type_NonHuman;,-28.34375,-167.21875,-250.25,pass
Aries Dark Region SD-T b3-1,$USS_Type_NonHuman;,-111.281,-256.688,-275.125,pass
Aries Dark Region TO-Q b5-2,$USS_Type_NonHuman;,-59.656,-158,-234.844,pass
Aries Dark Region TT-Q b5-0,$USS_Type_NonHuman;,-20.5,-139.6875,-239.625,pass
Aries Dark Region TY-R b4-0,$USS_Type_Salvage;,-61.59375,-194.75,-251.8125,pass
Aries Dark Region UD-T b3-1,$USS_Type_NonHuman;,-69.25,-258.8125,-266.84375,pass
Aries Dark Region UO-R b4-0,$USS_Type_NonHuman;,-122.9375,-243.90625,-264.25,pass
Aries Dark Region UZ-O b6-0,$USS_Type_NonHuman;,-79.5,-139.656,-220.875,pass
Aries Dark Region VZ-O b6-0,$USS_Type_NonHuman;,-59.875,-136.3125,-215.03125,pass
Aries Dark Region VZ-O b6-3,$USS_Type_NonHuman;,-54,-140.594,-205.563,pass
Aries Dark Region WA-N b7-1,$USS_Type_Salvage;,-146.6875,-158.5625,-188.5,pass
Aries Dark Region XK-N b7-1,$USS_Type_Salvage;,-64.469,-120.438,-203.781,pass
Aries Dark Region XK-O b6-2,$USS_Type_NonHuman;,-142,-197.8125,-218.8125,pass
Aries Dark Region YE-Q b5-1,$USS_Type_NonHuman;,-35.5625,-195.09375,-239.09375,pass
Aries Dark Region YF-N b7-2,$USS_Type_NonHuman;,-81.031,-125.156,-203.594,pass
Aries Dark Region YF-N b7-2,$USS_Type_Salvage;,-81.031,-125.156,-203.594,pass
Aries Dark Region YJ-Q b5-2,$USS_Type_ValuableSalvage;,-2.0625,-184.71875,-239.8125,pass
Aries Dark Region YJ-R b4-1,$USS_Type_NonHuman;,-69.15625,-247.3125,-261.3125,pass
Aries Dark Region YK-O b6-0,$USS_Type_NonHuman;,-124.90625,-199.78125,-219.96875,pass
Aries Dark Region YU-O b6-0,$USS_Type_NonHuman;,-31.9375,-147.0625,-224.625,pass
Aries Dark Region YU-Y d53,$USS_Type_NonHuman;,-145.6875,-102.875,-267.09375,pass
Aries Dark Region ZP-O b6-0,$USS_Type_NonHuman;,-64.969,-172.938,-208.656,pass
Arietis Sector AF-Z b1,$USS_Type_DistressSignal;,-44.15625,-60.5625,-192.53125,pass
Arietis Sector BF-A c16,$USS_Type_ValuableSalvage;,-54,-123.96875,-190.46875,pass
Arietis Sector BQ-Y c6,$USS_Type_Salvage;,-105.063,-102.844,-169.094,pass
Arietis Sector BV-Y b0,$USS_Type_ValuableSalvage;,-104.375,-102,-200.5,pass
Arietis Sector BV-Y b1,$USS_Type_NonHuman;,-88.688,-90.063,-204.406,pass
Arietis Sector BV-Y b4,$USS_Type_ValuableSalvage;,-102.813,-104.938,-192.625,pass
Arietis Sector BV-Y b5,$USS_Type_DistressSignal;,-101.813,-103.688,-203.25,pass
Arietis Sector CA-Z b0,$USS_Type_NonHuman;,-44.938,-80.063,-203.844,pass
Arietis Sector CQ-Y c6,$USS_Type_ValuableSalvage;,-79.875,-96.625,-178.906,pass
Arietis Sector CQ-Y c7,$USS_Type_NonHuman;,-78.688,-92.344,-180.375,pass
Arietis Sector CV-Y b3,$USS_Type_Convoy;,-68.84375,-104.15625,-193.53125,pass
